hv001,Secondaryage,NARSec,
652,13,5,0.384615385
653,10,4,0.4
654,15,4,0.266666667
655,9,3,0.333333333
656,12,6,0.5
657,9,3,0.333333333
658,16,5,0.3125
659,8,1,0.125
660,5,2,0.4
661,6,3,0.5
662,15,8,0.533333333
663,1,1,1
664,5,3,0.6
665,9,2,0.222222222
666,6,1,0.166666667
667,11,7,0.636363636
668,9,2,0.222222222
669,7,5,0.714285714
670,1,0,0
671,10,4,0.4
672,1,1,1
673,9,5,0.555555556
674,10,5,0.5
675,4,0,0
676,14,10,0.714285714
677,15,7,0.466666667
678,18,7,0.388888889
679,9,3,0.333333333
680,10,4,0.4
681,13,7,0.538461538
682,10,2,0.2
683,1,0,0
684,9,1,0.111111111
685,7,0,0
686,12,2,0.166666667
687,9,8,0.888888889
688,10,6,0.6
689,5,3,0.6
690,15,3,0.2
691,8,3,0.375
692,2,1,0.5
693,17,9,0.529411765
694,7,4,0.571428571
695,0,0,.
696,16,12,0.75
697,15,8,0.533333333
698,3,1,0.333333333
699,6,2,0.333333333
700,7,4,0.571428571
701,8,6,0.75
702,16,7,0.4375
703,10,2,0.2
704,17,4,0.235294118
705,13,3,0.230769231
706,11,2,0.181818182
707,14,5,0.357142857
708,16,7,0.4375
709,7,0,0
710,4,0,0
712,4,0,0
713,2,0,0
714,5,0,0
715,10,0,0
716,11,1,0.090909091
717,14,4,0.285714286
718,14,2,0.142857143
719,12,3,0.25
720,8,0,0
721,11,3,0.272727273
722,4,0,0
724,19,1,0.052631579
726,8,0,0
727,11,2,0.181818182
728,8,0,0
729,10,2,0.2
730,11,2,0.181818182
731,14,7,0.5
732,11,6,0.545454545
733,3,0,0
734,5,0,0
735,9,0,0
736,18,0,0
737,25,6,0.24
738,14,3,0.214285714
739,19,7,0.368421053
741,7,1,0.142857143
742,15,7,0.466666667
743,2,0,0
744,5,1,0.2
745,16,4,0.25
746,1,0,0
747,23,9,0.391304348
748,17,8,0.470588235
749,20,4,0.2
750,25,10,0.4
751,17,7,0.411764706
752,3,1,0.333333333
753,13,1,0.076923077
754,11,0,0
755,22,12,0.545454545
756,20,8,0.4
757,4,0,0
760,3,0,0
761,8,0,0
762,5,0,0
764,1,0,0
766,2,0,0
768,6,0,0
769,9,3,0.333333333
770,5,0,0
771,2,0,0
772,11,5,0.454545455
773,4,0,0
774,7,0,0
775,8,1,0.125
776,2,0,0
777,1,0,0
778,4,2,0.5
779,13,4,0.307692308
780,3,0,0
781,3,0,0
782,5,1,0.2
783,9,1,0.111111111
784,10,0,0
785,7,0,0
786,2,0,0
787,1,0,0
788,13,3,0.230769231
789,20,5,0.25
790,13,3,0.230769231
791,21,5,0.238095238
792,25,9,0.36
793,6,1,0.166666667
794,11,2,0.181818182
795,11,0,0
796,12,0,0
797,12,0,0
798,3,0,0
799,19,1,0.052631579
801,11,0,0
802,8,1,0.125
803,9,4,0.444444444
804,2,1,0.5
805,10,3,0.3
806,4,3,0.75
807,10,7,0.7
808,4,1,0.25
809,11,3,0.272727273
810,17,7,0.411764706
811,7,1,0.142857143
812,11,2,0.181818182
813,10,3,0.3
814,9,2,0.222222222
815,10,3,0.3
816,6,2,0.333333333
817,11,3,0.272727273
818,9,3,0.333333333
819,12,3,0.25
820,13,3,0.230769231
821,12,2,0.166666667
822,4,0,0
823,3,1,0.333333333
824,5,5,1
825,8,3,0.375
826,9,6,0.666666667
827,14,6,0.428571429
828,5,3,0.6
829,3,0,0
830,11,3,0.272727273
831,3,2,0.666666667
832,12,2,0.166666667
833,13,3,0.230769231
834,9,3,0.333333333
835,9,4,0.444444444
836,10,9,0.9
837,7,3,0.428571429
838,11,7,0.636363636
839,2,2,1
840,4,1,0.25
841,5,2,0.4
842,6,5,0.833333333
843,6,2,0.333333333
844,7,2,0.285714286
845,0,0,.
846,13,6,0.461538462
847,11,8,0.727272727
848,2,1,0.5
849,15,8,0.533333333
850,7,0,0
851,14,3,0.214285714
852,5,2,0.4
853,14,3,0.214285714
854,11,1,0.090909091
855,7,2,0.285714286
856,7,4,0.571428571
857,15,8,0.533333333
858,4,0,0
859,8,0,0
860,13,9,0.692307692
861,16,7,0.4375
862,8,1,0.125
863,7,2,0.285714286
864,5,2,0.4
865,6,3,0.5
866,12,5,0.416666667
867,14,8,0.571428571
868,7,1,0.142857143
869,14,3,0.214285714
870,9,3,0.333333333
871,6,1,0.166666667
872,7,1,0.142857143
873,13,2,0.153846154
874,6,4,0.666666667
875,12,2,0.166666667
876,9,3,0.333333333
877,12,2,0.166666667
878,5,2,0.4
879,3,1,0.333333333
880,9,1,0.111111111
881,12,5,0.416666667
882,3,0,0
883,8,3,0.375
884,7,3,0.428571429
885,11,2,0.181818182
886,8,2,0.25
887,8,2,0.25
888,11,4,0.363636364
889,5,2,0.4
890,13,5,0.384615385
891,9,2,0.222222222
892,12,4,0.333333333
893,7,3,0.428571429
894,11,4,0.363636364
895,7,4,0.571428571
896,12,6,0.5
897,7,3,0.428571429
898,7,2,0.285714286
899,18,6,0.333333333
900,9,2,0.222222222
901,8,1,0.125
902,12,1,0.083333333
903,7,2,0.285714286
904,11,4,0.363636364
905,13,4,0.307692308
906,13,9,0.692307692
907,3,0,0
908,12,5,0.416666667
909,1,0,0
910,6,3,0.5
911,13,4,0.307692308
912,9,4,0.444444444
913,8,2,0.25
914,17,1,0.058823529
915,11,1,0.090909091
916,8,2,0.25
917,7,1,0.142857143
918,7,3,0.428571429
919,9,4,0.444444444
920,9,4,0.444444444
921,1,1,1
922,12,2,0.166666667
923,10,2,0.2
924,14,1,0.071428571
925,6,0,0
926,5,0,0
927,7,2,0.285714286
928,13,3,0.230769231
929,8,2,0.25
930,11,3,0.272727273
931,11,5,0.454545455
932,11,6,0.545454545
933,11,6,0.545454545
934,16,12,0.75
935,12,1,0.083333333
936,7,0,0
937,7,4,0.571428571
938,9,3,0.333333333
939,10,4,0.4
940,7,4,0.571428571
941,3,2,0.666666667
942,1,0,0
943,3,2,0.666666667
944,10,9,0.9
945,9,3,0.333333333
946,7,1,0.142857143
947,13,4,0.307692308
948,12,4,0.333333333
949,11,0,0
950,5,2,0.4
951,4,1,0.25
952,2,0,0
953,6,1,0.166666667
954,2,0,0
955,5,2,0.4
956,17,6,0.352941176
957,8,4,0.5
958,9,5,0.555555556
959,13,5,0.384615385
960,4,1,0.25
961,16,5,0.3125
962,14,11,0.785714286
963,8,4,0.5
964,7,3,0.428571429
965,11,4,0.363636364
966,13,6,0.461538462
967,12,5,0.416666667
968,9,4,0.444444444
969,9,5,0.555555556
970,12,4,0.333333333
971,5,2,0.4
972,3,2,0.666666667
973,13,6,0.461538462
974,6,3,0.5
975,15,6,0.4
976,10,7,0.7
977,6,5,0.833333333
978,2,1,0.5
979,5,2,0.4
980,4,3,0.75
981,8,5,0.625
982,11,6,0.545454545
983,10,6,0.6
984,6,1,0.166666667
985,7,2,0.285714286
986,6,2,0.333333333
987,8,4,0.5
988,8,2,0.25
989,3,1,0.333333333
990,4,3,0.75
991,10,7,0.7
992,3,0,0
993,3,1,0.333333333
994,5,4,0.8
995,8,3,0.375
996,6,2,0.333333333
997,2,0,0
998,5,3,0.6
999,7,2,0.285714286
1000,7,5,0.714285714
1001,4,3,0.75
1002,7,4,0.571428571
1003,6,4,0.666666667
1004,10,4,0.4
1005,1,1,1
1006,6,4,0.666666667
1007,10,5,0.5
1008,8,3,0.375
1009,10,3,0.3
1010,13,2,0.153846154
1011,12,2,0.166666667
1012,15,2,0.133333333
1013,1,0,0
1014,6,0,0
1015,3,0,0
1016,2,0,0
1017,5,0,0
1018,3,0,0
1019,6,0,0
1020,0,0,.
1021,3,0,0
1022,1,0,0
1023,3,0,0
1024,5,0,0
1025,1,0,0
1026,2,0,0
1027,18,0,0
1028,8,0,0
1029,12,1,0.083333333
1030,2,1,0.5
1031,5,0,0
1032,5,1,0.2
1034,13,2,0.153846154
1035,3,0,0
1036,3,0,0
1037,9,0,0
1038,5,0,0
1039,5,0,0
1040,9,0,0
1041,11,0,0
1042,9,2,0.222222222
1043,2,0,0
1044,14,1,0.071428571
1045,3,2,0.666666667
1046,9,1,0.111111111
1047,4,3,0.75
1048,6,0,0
1049,12,2,0.166666667
1050,3,1,0.333333333
1051,3,0,0
1052,7,0,0
1053,6,0,0
1054,7,0,0
1055,14,1,0.071428571
1056,12,1,0.083333333
1058,7,0,0
1059,5,0,0
1060,4,0,0
1061,0,0,.
1062,11,1,0.090909091
1063,13,0,0
1064,18,0,0
1065,11,1,0.090909091
1067,5,0,0
1068,4,0,0
1069,8,1,0.125
1070,18,1,0.055555556
1071,8,2,0.25
1072,2,0,0
1073,3,0,0
1074,3,1,0.333333333
1075,5,0,0
1076,12,1,0.083333333
1077,5,0,0
1078,14,1,0.071428571
1079,5,1,0.2
1080,12,1,0.083333333
1081,7,0,0
1082,7,0,0
1083,11,3,0.272727273
1084,6,1,0.166666667
1085,8,0,0
1086,9,0,0
1087,8,0,0
1088,6,0,0
1089,5,3,0.6
1090,8,0,0
1091,2,0,0
1092,6,0,0
1093,1,0,0
1094,10,0,0
1095,5,1,0.2
1096,3,1,0.333333333
1097,6,0,0
1098,1,1,1
1099,11,2,0.181818182
1100,14,0,0
1101,2,0,0
1103,9,0,0
1104,15,0,0
1105,8,1,0.125
1106,8,2,0.25
1107,4,1,0.25
1108,3,1,0.333333333
1109,5,2,0.4
1110,10,1,0.1
1111,5,0,0
1112,6,4,0.666666667
1113,5,2,0.4
1114,6,2,0.333333333
1115,7,4,0.571428571
1116,9,2,0.222222222
1117,16,5,0.3125
1118,15,4,0.266666667
1119,6,1,0.166666667
1120,11,2,0.181818182
1121,13,2,0.153846154
1122,15,7,0.466666667
1123,8,2,0.25
1124,13,1,0.076923077
1125,10,2,0.2
1126,6,1,0.166666667
1127,12,1,0.083333333
1128,8,2,0.25
1129,8,4,0.5
1130,14,4,0.285714286
1131,13,1,0.076923077
1132,13,2,0.153846154
1133,19,4,0.210526316
1134,7,2,0.285714286
1135,4,0,0
1136,19,8,0.421052632
1137,15,2,0.133333333
1138,5,0,0
1139,10,2,0.2
1140,3,2,0.666666667
1141,8,2,0.25
1142,5,2,0.4
1143,3,0,0
1144,8,2,0.25
1145,15,3,0.2
1146,9,1,0.111111111
1147,3,1,0.333333333
1148,1,0,0
1149,9,1,0.111111111
1150,7,0,0
1151,11,2,0.181818182
1152,5,1,0.2
1153,7,2,0.285714286
1154,10,2,0.2
1155,5,0,0
1156,0,0,.
1157,5,0,0
1158,6,2,0.333333333
1159,5,0,0
1160,12,0,0
1161,8,1,0.125
1162,10,3,0.3
1163,2,1,0.5
1164,9,2,0.222222222
1165,2,1,0.5
1166,6,1,0.166666667
1167,9,5,0.555555556
1168,15,4,0.266666667
1169,10,2,0.2
1170,17,1,0.058823529
1171,9,0,0
1172,12,4,0.333333333
1173,2,0,0
1174,10,3,0.3
1175,13,4,0.307692308
1176,8,2,0.25
1177,3,1,0.333333333
1178,4,3,0.75
1179,9,5,0.555555556
1180,1,1,1
1181,5,5,1
1182,3,0,0
1183,6,1,0.166666667
1184,10,2,0.2
1185,4,0,0
1186,2,0,0
1187,9,4,0.444444444
1188,4,1,0.25
1189,3,1,0.333333333
1190,12,6,0.5
1191,6,2,0.333333333
1192,10,6,0.6
1193,1,1,1
1194,4,2,0.5
1195,9,2,0.222222222
1196,8,1,0.125
1197,14,6,0.428571429
1198,13,2,0.153846154
1199,11,0,0
1200,5,0,0
1201,1,0,0
1202,3,0,0
1203,4,1,0.25
1204,2,1,0.5
1205,2,2,1
1206,13,4,0.307692308
1207,2,0,0
1208,9,1,0.111111111
1209,3,1,0.333333333
1210,15,8,0.533333333
1212,10,1,0.1
1213,16,7,0.4375
1214,10,5,0.5
1215,4,2,0.5
1216,2,0,0
1217,26,5,0.192307692
1218,10,0,0
1219,7,1,0.142857143
1220,3,0,0
1221,8,0,0
1222,2,0,0
1223,6,1,0.166666667
1224,1,1,1
1225,6,4,0.666666667
1226,12,0,0
1227,10,2,0.2
1228,8,3,0.375
1229,5,0,0
1230,4,0,0
1231,6,0,0
1232,4,0,0
1233,7,4,0.571428571
1234,5,1,0.2
1235,6,1,0.166666667
1236,5,1,0.2
1237,4,0,0
1238,7,3,0.428571429
1239,11,2,0.181818182
1240,2,0,0
1241,7,1,0.142857143
1242,8,1,0.125
1243,5,4,0.8
1244,3,0,0
1245,5,1,0.2
1246,3,0,0
1247,10,3,0.3
1248,2,0,0
1249,4,0,0
1250,11,2,0.181818182
1251,7,0,0
1252,2,2,1
1253,4,1,0.25
1254,4,2,0.5
1255,14,7,0.5
1256,6,0,0
1257,0,0,.
1258,10,4,0.4
1259,10,0,0
1260,15,4,0.266666667
1261,5,1,0.2
1262,7,1,0.142857143
1263,9,0,0
1264,8,3,0.375
1265,12,0,0
1266,12,4,0.333333333
1267,16,4,0.25
1268,12,0,0
1269,20,8,0.4
1270,13,2,0.153846154
1272,4,1,0.25
1273,1,1,1
1274,11,5,0.454545455
1275,7,3,0.428571429
1276,5,0,0
1277,0,0,.
1278,14,6,0.428571429
1279,6,4,0.666666667
1280,4,0,0
1281,0,0,.
1282,5,2,0.4
1283,4,3,0.75
1284,0,0,.
1285,5,2,0.4
1286,3,3,1
1287,1,0,0
1288,1,0,0
1289,4,3,0.75
1290,14,10,0.714285714
1291,12,8,0.666666667
1292,15,4,0.266666667
1293,10,2,0.2
1294,14,6,0.428571429
1295,5,2,0.4
1296,15,3,0.2
1297,16,3,0.1875
1298,9,2,0.222222222
1299,9,5,0.555555556
1300,8,0,0
1301,11,9,0.818181818
1302,18,9,0.5
1303,5,4,0.8
1304,1,1,1
1305,4,1,0.25
1306,2,2,1
1307,1,1,1
1308,8,6,0.75
1309,3,3,1
1310,3,1,0.333333333
1311,3,3,1
1312,2,0,0
1313,4,0,0
1314,13,5,0.384615385
1315,9,8,0.888888889
1316,6,4,0.666666667
1317,14,6,0.428571429
1318,6,3,0.5
1319,11,9,0.818181818
1320,5,4,0.8
1321,3,3,1
1322,8,4,0.5
1323,4,0,0
1324,7,0,0
1325,3,1,0.333333333
1326,4,2,0.5
1327,6,2,0.333333333
1328,1,0,0
1329,10,2,0.2
1330,4,0,0
1331,11,4,0.363636364
1332,8,3,0.375
1333,8,1,0.125
1334,9,0,0
1335,8,5,0.625
1336,12,1,0.083333333
1337,13,5,0.384615385
1338,3,2,0.666666667
1339,5,3,0.6
1340,8,2,0.25
1341,12,0,0
1342,2,0,0
1343,3,1,0.333333333
1344,2,0,0
1345,1,0,0
1346,1,0,0
1347,2,1,0.5
1348,7,2,0.285714286
1349,12,5,0.416666667
1350,14,3,0.214285714
1351,2,0,0
1352,3,0,0
1353,8,0,0
1354,13,0,0
1355,5,4,0.8
1356,1,0,0
1357,3,1,0.333333333
1358,0,0,.
1359,1,0,0
1360,7,0,0
