Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.089625952,,National Weighted Average,,8.7,Statcompiler,9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
1072,2,0,0,,,,
1073,5,1,0.2,,,,
1074,2,0,0,,,,
1075,5,1,0.2,,,,
1076,3,1,0.333333333,,,,
1077,1,0,0,,,,
1078,0,0,.,,,,
1079,1,0,0,,,,
1080,3,1,0.333333333,,,,
1081,1,0,0,,,,
1082,0,0,.,,,,
1083,2,0,0,,,,
1084,3,0,0,,,,
1085,2,0,0,,,,
1086,2,0,0,,,,
1087,5,2,0.4,,,,
1088,2,0,0,,,,
1089,3,1,0.333333333,,,,
1090,6,0,0,,,,
1091,3,0,0,,,,
1092,3,0,0,,,,
1093,3,0,0,,,,
1094,3,0,0,,,,
1095,2,0,0,,,,
1096,3,1,0.333333333,,,,
1097,1,0,0,,,,
1098,5,1,0.2,,,,
1099,2,0,0,,,,
1100,5,1,0.2,,,,
1101,0,0,.,,,,
1102,1,0,0,,,,
1103,1,0,0,,,,
1104,3,0,0,,,,
1105,6,0,0,,,,
1106,3,0,0,,,,
1107,3,1,0.333333333,,,,
1108,4,0,0,,,,
1109,6,1,0.166666667,,,,
1110,6,0,0,,,,
1111,5,1,0.2,,,,
1112,1,0,0,,,,
1113,4,0,0,,,,
1114,2,0,0,,,,
1115,1,0,0,,,,
1116,4,0,0,,,,
1117,0,0,.,,,,
1118,1,0,0,,,,
1119,2,1,0.5,,,,
1120,3,0,0,,,,
1121,2,0,0,,,,
1122,7,1,0.142857143,,,,
1123,3,0,0,,,,
1124,1,0,0,,,,
1125,1,1,1,,,,
1126,3,0,0,,,,
1127,4,0,0,,,,
1128,1,0,0,,,,
1129,4,0,0,,,,
1130,5,0,0,,,,
1131,2,0,0,,,,
1132,1,0,0,,,,
1133,1,0,0,,,,
1134,7,3,0.428571429,,,,
1135,5,0,0,,,,
1136,6,0,0,,,,
1137,2,1,0.5,,,,
1138,2,1,0.5,,,,
1139,2,0,0,,,,
1140,1,0,0,,,,
1141,0,0,.,,,,
1142,3,0,0,,,,
1143,0,0,.,,,,
1144,1,0,0,,,,
1145,1,0,0,,,,
1146,0,0,.,,,,
1147,5,3,0.6,,,,
1148,5,0,0,,,,
1149,1,1,1,,,,
1150,8,0,0,,,,
1151,2,0,0,,,,
1152,1,0,0,,,,
1153,3,0,0,,,,
1154,9,3,0.333333333,,,,
1155,3,0,0,,,,
1156,4,0,0,,,,
1157,6,1,0.166666667,,,,
1158,5,2,0.4,,,,
1159,2,1,0.5,,,,
1160,10,1,0.1,,,,
1161,5,0,0,,,,
1162,4,0,0,,,,
1163,2,0,0,,,,
1164,7,0,0,,,,
1165,3,0,0,,,,
1166,1,0,0,,,,
1167,2,0,0,,,,
1168,1,0,0,,,,
1169,3,1,0.333333333,,,,
1170,1,0,0,,,,
1171,2,0,0,,,,
1172,2,0,0,,,,
1173,4,0,0,,,,
1174,2,0,0,,,,
1175,4,0,0,,,,
1176,3,1,0.333333333,,,,
1177,5,0,0,,,,
1178,3,1,0.333333333,,,,
1179,3,0,0,,,,
1180,5,1,0.2,,,,
1181,4,0,0,,,,
1182,5,0,0,,,,
1183,0,0,.,,,,
1184,2,0,0,,,,
1185,1,1,1,,,,
1186,3,0,0,,,,
1187,4,0,0,,,,
1188,2,0,0,,,,
1189,0,0,.,,,,
1190,2,0,0,,,,
1191,0,0,.,,,,
1192,6,2,0.333333333,,,,
1193,2,1,0.5,,,,
1194,0,0,.,,,,
1195,3,0,0,,,,
1196,1,0,0,,,,
1197,2,1,0.5,,,,
1198,3,0,0,,,,
1199,5,0,0,,,,
1200,1,0,0,,,,
1201,3,0,0,,,,
1202,3,1,0.333333333,,,,
1203,3,0,0,,,,
1204,0,0,.,,,,
1205,5,0,0,,,,
1206,5,0,0,,,,
1207,2,0,0,,,,
1208,4,0,0,,,,
1209,4,0,0,,,,
1210,3,1,0.333333333,,,,
1211,5,1,0.2,,,,
1212,3,1,0.333333333,,,,
1213,5,0,0,,,,
1214,4,1,0.25,,,,
1215,3,0,0,,,,
1216,2,0,0,,,,
1217,4,0,0,,,,
1218,2,0,0,,,,
1219,6,1,0.166666667,,,,
1220,3,0,0,,,,
1221,2,1,0.5,,,,
1222,0,0,.,,,,
1223,1,1,1,,,,
1224,0,0,.,,,,
1225,1,0,0,,,,
1226,4,0,0,,,,
1227,3,0,0,,,,
1228,5,0,0,,,,
1229,1,0,0,,,,
1230,4,0,0,,,,
1231,5,2,0.4,,,,
1232,4,0,0,,,,
1233,8,1,0.125,,,,
1234,1,0,0,,,,
1235,4,3,0.75,,,,
1236,2,0,0,,,,
1237,4,0,0,,,,
1238,3,1,0.333333333,,,,
1239,6,1,0.166666667,,,,
1240,1,0,0,,,,
1241,4,1,0.25,,,,
1242,0,0,.,,,,
1243,2,0,0,,,,
1244,3,0,0,,,,
1245,4,0,0,,,,
1246,4,1,0.25,,,,
1247,4,1,0.25,,,,
1248,2,0,0,,,,
1249,8,2,0.25,,,,
1250,4,0,0,,,,
1251,4,0,0,,,,
1252,1,1,1,,,,
1253,2,0,0,,,,
1254,2,2,1,,,,
1255,4,0,0,,,,
1256,2,0,0,,,,
1257,3,0,0,,,,
1258,5,2,0.4,,,,
1259,1,0,0,,,,
1260,6,0,0,,,,
1261,7,0,0,,,,
1262,4,0,0,,,,
1263,6,0,0,,,,
1264,3,0,0,,,,
1265,4,0,0,,,,
1266,0,0,.,,,,
1267,5,0,0,,,,
1268,4,0,0,,,,
1269,3,0,0,,,,
1270,0,0,.,,,,
1271,0,0,.,,,,
1272,2,0,0,,,,
1273,2,0,0,,,,
1274,2,0,0,,,,
1275,5,1,0.2,,,,
1276,2,0,0,,,,
1277,1,0,0,,,,
1278,5,1,0.2,,,,
1279,2,0,0,,,,
1280,4,0,0,,,,
1281,4,0,0,,,,
1282,5,1,0.2,,,,
1283,5,0,0,,,,
1284,2,0,0,,,,
1285,1,0,0,,,,
1286,4,0,0,,,,
1287,5,0,0,,,,
1288,4,1,0.25,,,,
1289,6,1,0.166666667,,,,
1290,3,0,0,,,,
1291,1,0,0,,,,
1292,5,0,0,,,,
1293,1,0,0,,,,
1294,5,0,0,,,,
1295,2,1,0.5,,,,
1296,9,1,0.111111111,,,,
1297,3,0,0,,,,
1298,1,0,0,,,,
1299,1,0,0,,,,
1300,4,0,0,,,,
1301,2,0,0,,,,
1302,2,0,0,,,,
1303,4,1,0.25,,,,
1304,6,0,0,,,,
1305,5,0,0,,,,
1306,3,0,0,,,,
1307,6,0,0,,,,
1308,2,0,0,,,,
1309,7,1,0.142857143,,,,
1310,2,1,0.5,,,,
1311,6,0,0,,,,
1312,1,0,0,,,,
1313,1,0,0,,,,
1314,3,0,0,,,,
1315,3,0,0,,,,
1316,1,0,0,,,,
1317,1,0,0,,,,
1318,5,0,0,,,,
1319,2,2,1,,,,
1320,2,0,0,,,,
1321,3,0,0,,,,
1322,2,0,0,,,,
1323,6,1,0.166666667,,,,
1324,0,0,.,,,,
1325,3,0,0,,,,
1326,4,0,0,,,,
1327,3,0,0,,,,
1328,4,0,0,,,,
1329,3,0,0,,,,
1330,5,0,0,,,,
1331,4,0,0,,,,
1332,3,0,0,,,,
1333,3,0,0,,,,
1334,1,0,0,,,,
1335,3,0,0,,,,
1336,5,0,0,,,,
1337,4,0,0,,,,
1338,4,1,0.25,,,,
1339,3,0,0,,,,
1340,3,0,0,,,,
1341,3,0,0,,,,
1342,2,0,0,,,,
1343,1,0,0,,,,
1344,3,0,0,,,,
1345,6,0,0,,,,
1346,2,0,0,,,,
1347,1,0,0,,,,
1348,0,0,.,,,,
1349,6,0,0,,,,
1350,0,0,.,,,,
1351,2,0,0,,,,
1352,2,0,0,,,,
1353,3,0,0,,,,
1354,2,0,0,,,,
1355,3,0,0,,,,
1356,1,0,0,,,,
1357,6,0,0,,,,
1358,4,0,0,,,,
1359,1,0,0,,,,
1360,4,0,0,,,,
1361,0,0,.,,,,
1362,3,0,0,,,,
1363,5,0,0,,,,
1364,5,0,0,,,,
1365,5,0,0,,,,
1366,5,1,0.2,,,,
1367,3,0,0,,,,
1368,1,0,0,,,,
1369,2,0,0,,,,
1370,1,0,0,,,,
1371,2,1,0.5,,,,
1372,4,0,0,,,,
1373,4,0,0,,,,
1374,2,1,0.5,,,,
1375,1,0,0,,,,
1376,6,2,0.333333333,,,,
1377,3,0,0,,,,
1378,2,0,0,,,,
1379,2,0,0,,,,
1380,4,0,0,,,,
1381,5,1,0.2,,,,
1382,3,0,0,,,,
1383,7,0,0,,,,
1384,1,0,0,,,,
1385,5,0,0,,,,
1386,3,1,0.333333333,,,,
1387,3,0,0,,,,
1388,3,0,0,,,,
1389,2,0,0,,,,
1390,5,0,0,,,,
1391,3,0,0,,,,
1392,2,0,0,,,,
1393,2,0,0,,,,
1394,3,0,0,,,,
1395,3,0,0,,,,
1396,3,0,0,,,,
1397,2,0,0,,,,
1398,1,0,0,,,,
1399,10,2,0.2,,,,
1400,2,0,0,,,,
1401,4,0,0,,,,
1402,4,0,0,,,,
1403,1,0,0,,,,
1404,3,0,0,,,,
1405,3,0,0,,,,
1406,5,1,0.2,,,,
1407,3,2,0.666666667,,,,
1408,3,0,0,,,,
1409,3,0,0,,,,
1410,1,0,0,,,,
1411,4,0,0,,,,
1412,2,0,0,,,,
1413,3,0,0,,,,
1414,8,0,0,,,,
1415,7,1,0.142857143,,,,
1416,3,0,0,,,,
1417,5,1,0.2,,,,
1418,3,0,0,,,,
1419,0,0,.,,,,
1420,5,1,0.2,,,,
1421,4,0,0,,,,
1422,1,0,0,,,,
1423,5,0,0,,,,
1424,2,0,0,,,,
1425,6,0,0,,,,
1426,0,0,.,,,,
1427,2,0,0,,,,
1428,4,0,0,,,,
1429,1,0,0,,,,
1430,1,0,0,,,,
1431,4,1,0.25,,,,
1432,4,1,0.25,,,,
1433,5,1,0.2,,,,
1434,3,0,0,,,,
1435,4,2,0.5,,,,
1436,1,1,1,,,,
1437,4,0,0,,,,
1438,2,0,0,,,,
1439,1,0,0,,,,
1440,2,0,0,,,,
1441,3,1,0.333333333,,,,
1442,3,0,0,,,,
1443,6,1,0.166666667,,,,
1444,5,1,0.2,,,,
1445,2,1,0.5,,,,
1446,2,0,0,,,,
1447,4,1,0.25,,,,
1448,1,0,0,,,,
1449,4,0,0,,,,
1450,6,0,0,,,,
1451,1,0,0,,,,
1452,3,0,0,,,,
1453,2,0,0,,,,
1454,5,0,0,,,,
1455,0,0,.,,,,
1456,3,0,0,,,,
1457,1,0,0,,,,
1458,10,1,0.1,,,,
1459,4,0,0,,,,
1460,2,0,0,,,,
1461,3,0,0,,,,
1462,5,0,0,,,,
1463,3,0,0,,,,
1464,3,0,0,,,,
1465,1,0,0,,,,
1466,4,0,0,,,,
1467,4,0,0,,,,
1468,1,0,0,,,,
1469,2,0,0,,,,
1470,3,0,0,,,,
1471,7,1,0.142857143,,,,
1472,4,0,0,,,,
1473,3,1,0.333333333,,,,
1474,2,0,0,,,,
1475,0,0,.,,,,
1476,4,0,0,,,,
1477,2,0,0,,,,
1478,3,1,0.333333333,,,,
1479,3,0,0,,,,
1480,0,0,.,,,,
1481,2,0,0,,,,
1482,6,0,0,,,,
1483,7,1,0.142857143,,,,
1484,5,0,0,,,,
1485,4,0,0,,,,
1486,3,1,0.333333333,,,,
1487,5,0,0,,,,
1488,1,0,0,,,,
1489,2,0,0,,,,
1490,2,0,0,,,,
1491,6,0,0,,,,
1492,5,0,0,,,,
1493,1,0,0,,,,
1494,0,0,.,,,,
1495,3,0,0,,,,
1496,4,0,0,,,,
1497,2,1,0.5,,,,
1498,5,2,0.4,,,,
1499,0,0,.,,,,
1500,4,0,0,,,,
1501,4,0,0,,,,
1502,1,0,0,,,,
1503,3,0,0,,,,
1504,2,0,0,,,,
1505,3,1,0.333333333,,,,
1506,3,0,0,,,,
1507,0,0,.,,,,
1508,5,0,0,,,,
1509,1,0,0,,,,
1510,5,0,0,,,,
1511,2,0,0,,,,
1512,7,0,0,,,,
1513,2,0,0,,,,
1514,6,2,0.333333333,,,,
1515,3,0,0,,,,
1516,3,0,0,,,,
1517,1,0,0,,,,
1518,1,0,0,,,,
1519,3,0,0,,,,
1520,3,0,0,,,,
1521,2,1,0.5,,,,
1522,2,0,0,,,,
1523,2,0,0,,,,
1524,5,0,0,,,,
1525,4,0,0,,,,
1526,6,1,0.166666667,,,,
1527,3,0,0,,,,
1528,1,0,0,,,,
1529,3,0,0,,,,
1530,3,0,0,,,,
1531,5,0,0,,,,
1532,7,0,0,,,,
1533,3,0,0,,,,
1534,7,1,0.142857143,,,,
1535,5,0,0,,,,
1536,2,0,0,,,,
1537,6,0,0,,,,
1538,6,1,0.166666667,,,,
1539,8,3,0.375,,,,
1540,2,0,0,,,,
1541,4,0,0,,,,
1542,3,1,0.333333333,,,,
1543,8,0,0,,,,
1544,5,0,0,,,,
1545,5,0,0,,,,
1546,2,0,0,,,,
1547,6,1,0.166666667,,,,
1548,5,0,0,,,,
1549,7,0,0,,,,
1550,4,0,0,,,,
1551,2,0,0,,,,
1552,5,0,0,,,,
1553,4,0,0,,,,
1554,1,0,0,,,,
1555,4,0,0,,,,
1556,3,0,0,,,,
1557,6,1,0.166666667,,,,
1558,3,0,0,,,,
1559,7,0,0,,,,
1560,3,0,0,,,,
1561,5,0,0,,,,
1562,1,0,0,,,,
1563,3,0,0,,,,
1564,7,1,0.142857143,,,,
1565,2,0,0,,,,
1566,3,1,0.333333333,,,,
1567,2,0,0,,,,
1568,4,1,0.25,,,,
1569,3,0,0,,,,
1570,3,0,0,,,,
1571,3,0,0,,,,
1572,2,0,0,,,,
1573,2,0,0,,,,
1574,4,0,0,,,,
1575,4,0,0,,,,
1576,1,0,0,,,,
1577,1,0,0,,,,
1578,1,0,0,,,,
1579,3,0,0,,,,
1580,4,0,0,,,,
1581,1,0,0,,,,
1582,5,1,0.2,,,,
1583,2,0,0,,,,
1584,1,0,0,,,,
1585,3,0,0,,,,
1586,5,0,0,,,,
1587,0,0,.,,,,
1588,4,1,0.25,,,,
1589,1,0,0,,,,
1590,2,0,0,,,,
1591,3,0,0,,,,
1592,5,2,0.4,,,,
1593,1,0,0,,,,
1594,3,0,0,,,,
1595,1,0,0,,,,
1596,3,0,0,,,,
1597,2,0,0,,,,
1598,4,0,0,,,,
1599,2,1,0.5,,,,
1600,4,1,0.25,,,,
1601,0,0,.,,,,
1602,1,0,0,,,,
1603,3,0,0,,,,
1604,2,0,0,,,,
1605,2,0,0,,,,
1606,2,0,0,,,,
1607,1,0,0,,,,
1608,3,1,0.333333333,,,,
1609,1,0,0,,,,
1610,2,0,0,,,,
1611,6,0,0,,,,
1612,2,0,0,,,,
1613,4,0,0,,,,
1614,1,0,0,,,,
1615,2,0,0,,,,
1616,1,0,0,,,,
1617,1,1,1,,,,
1618,3,1,0.333333333,,,,
1619,3,0,0,,,,
1620,3,0,0,,,,
1621,1,1,1,,,,
1622,2,0,0,,,,
1623,7,1,0.142857143,,,,
1624,1,0,0,,,,
1625,2,1,0.5,,,,
1626,0,0,.,,,,
1627,5,1,0.2,,,,
1628,5,0,0,,,,
1629,1,0,0,,,,
1630,1,0,0,,,,
1631,4,0,0,,,,
1632,1,0,0,,,,
1633,3,0,0,,,,
1634,1,0,0,,,,
1635,6,0,0,,,,
1636,3,0,0,,,,
1637,2,1,0.5,,,,
1638,1,0,0,,,,
1639,3,0,0,,,,
1640,2,0,0,,,,
1641,5,0,0,,,,
1642,3,0,0,,,,
1643,2,0,0,,,,
1644,1,1,1,,,,
1645,2,0,0,,,,
1646,3,0,0,,,,
1647,2,0,0,,,,
1648,2,1,0.5,,,,
1649,5,0,0,,,,
1650,4,0,0,,,,
1651,3,0,0,,,,
1652,2,0,0,,,,
1653,3,0,0,,,,
1654,3,0,0,,,,
1655,0,0,.,,,,
1656,2,1,0.5,,,,
1657,2,0,0,,,,
1658,1,0,0,,,,
1659,1,0,0,,,,
1660,4,0,0,,,,
1661,3,1,0.333333333,,,,
1662,4,0,0,,,,
1663,1,0,0,,,,
1664,2,0,0,,,,
1665,1,0,0,,,,
1666,4,2,0.5,,,,
1667,5,1,0.2,,,,
1668,3,0,0,,,,
1669,1,1,1,,,,
1670,0,0,.,,,,
1671,5,0,0,,,,
1672,1,0,0,,,,
1673,1,0,0,,,,
1674,2,0,0,,,,
1675,3,1,0.333333333,,,,
1676,4,0,0,,,,
1677,5,1,0.2,,,,
1678,2,0,0,,,,
1679,0,0,.,,,,
1680,2,0,0,,,,
1681,0,0,.,,,,
1682,1,0,0,,,,
1683,4,0,0,,,,
1684,4,0,0,,,,
1685,1,0,0,,,,
1686,0,0,.,,,,
1687,0,0,.,,,,
1688,4,0,0,,,,
1689,4,0,0,,,,
1690,4,0,0,,,,
1691,0,0,.,,,,
1692,1,0,0,,,,
,4755,429,0.089625952,,,,
