Definition: ,Percentage of women with a live birth in the two years preceding the survey who received antenatal care for the most recent birth with blood sample taken,,,,,,
Denominator,Women who had a live birth in the two (or three/five) years preceding the survey and recived ANC,,,,,,
,,,,,,,
Average:,0.95367369,,National Weighted Average,,,Statcompiler,95.9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthsw,bloodsample,,,,,
104,5,2,0.4,,,,
105,1,2,2,,,,
106,0,2,.,,,,
107,4,1,0.25,,,,
108,4,3,0.75,,,,
109,1,2,2,,,,
110,2,2,1,,,,
111,3,3,1,,,,
112,3,3,1,,,,
113,2,2,1,,,,
114,3,3,1,,,,
115,3,4,1.333333333,,,,
116,7,5,0.714285714,,,,
117,0,3,.,,,,
118,9,7,0.777777778,,,,
119,2,1,0.5,,,,
120,1,3,3,,,,
121,4,1,0.25,,,,
122,3,4,1.333333333,,,,
123,6,7,1.166666667,,,,
124,1,2,2,,,,
125,1,4,4,,,,
126,3,5,1.666666667,,,,
127,1,2,2,,,,
128,3,3,1,,,,
129,4,4,1,,,,
130,2,2,1,,,,
131,2,4,2,,,,
132,2,1,0.5,,,,
133,2,3,1.5,,,,
134,0,1,.,,,,
135,3,3,1,,,,
136,2,3,1.5,,,,
137,4,4,1,,,,
138,3,3,1,,,,
139,2,6,3,,,,
140,2,1,0.5,,,,
141,2,5,2.5,,,,
142,1,2,2,,,,
143,2,3,1.5,,,,
144,1,1,1,,,,
145,2,4,2,,,,
146,2,2,1,,,,
147,3,1,0.333333333,,,,
148,3,2,0.666666667,,,,
149,3,4,1.333333333,,,,
150,3,3,1,,,,
151,1,1,1,,,,
152,3,1,0.333333333,,,,
153,2,0,0,,,,
154,3,4,1.333333333,,,,
155,1,2,2,,,,
156,5,5,1,,,,
157,3,6,2,,,,
158,4,3,0.75,,,,
159,3,5,1.666666667,,,,
160,2,5,2.5,,,,
161,3,2,0.666666667,,,,
162,2,2,1,,,,
163,2,1,0.5,,,,
164,2,3,1.5,,,,
165,1,1,1,,,,
166,4,0,0,,,,
167,4,4,1,,,,
168,1,1,1,,,,
169,7,2,0.285714286,,,,
170,1,0,0,,,,
171,4,3,0.75,,,,
172,6,5,0.833333333,,,,
173,5,3,0.6,,,,
174,5,6,1.2,,,,
175,1,1,1,,,,
176,7,4,0.571428571,,,,
177,1,0,0,,,,
178,2,2,1,,,,
179,1,4,4,,,,
180,3,6,2,,,,
181,4,4,1,,,,
182,5,6,1.2,,,,
183,2,0,0,,,,
184,2,3,1.5,,,,
185,2,2,1,,,,
186,4,6,1.5,,,,
187,7,4,0.571428571,,,,
188,3,4,1.333333333,,,,
189,1,3,3,,,,
190,1,2,2,,,,
191,5,3,0.6,,,,
192,2,1,0.5,,,,
193,2,3,1.5,,,,
194,3,4,1.333333333,,,,
195,0,2,.,,,,
196,2,2,1,,,,
197,4,4,1,,,,
198,4,2,0.5,,,,
199,6,6,1,,,,
200,7,4,0.571428571,,,,
201,3,7,2.333333333,,,,
202,3,3,1,,,,
203,5,3,0.6,,,,
204,0,2,.,,,,
205,4,3,0.75,,,,
206,6,5,0.833333333,,,,
207,1,1,1,,,,
208,3,1,0.333333333,,,,
209,1,1,1,,,,
210,2,2,1,,,,
211,3,3,1,,,,
212,0,3,.,,,,
213,3,5,1.666666667,,,,
214,5,2,0.4,,,,
215,2,6,3,,,,
216,4,2,0.5,,,,
217,3,3,1,,,,
218,1,1,1,,,,
219,1,2,2,,,,
220,4,6,1.5,,,,
221,7,6,0.857142857,,,,
222,4,6,1.5,,,,
223,3,1,0.333333333,,,,
224,9,7,0.777777778,,,,
225,2,1,0.5,,,,
226,3,2,0.666666667,,,,
227,3,3,1,,,,
228,1,5,5,,,,
229,3,2,0.666666667,,,,
230,1,2,2,,,,
231,4,4,1,,,,
232,2,1,0.5,,,,
233,7,5,0.714285714,,,,
234,1,4,4,,,,
235,2,4,2,,,,
236,0,1,.,,,,
237,7,5,0.714285714,,,,
238,2,3,1.5,,,,
239,3,3,1,,,,
240,5,2,0.4,,,,
241,2,4,2,,,,
242,1,4,4,,,,
243,6,4,0.666666667,,,,
244,4,6,1.5,,,,
245,8,2,0.25,,,,
246,1,3,3,,,,
247,6,5,0.833333333,,,,
248,6,4,0.666666667,,,,
249,2,1,0.5,,,,
250,1,2,2,,,,
251,3,3,1,,,,
252,2,3,1.5,,,,
253,2,2,1,,,,
254,0,4,.,,,,
255,2,5,2.5,,,,
256,5,3,0.6,,,,
257,3,5,1.666666667,,,,
258,4,5,1.25,,,,
259,5,4,0.8,,,,
260,6,3,0.5,,,,
261,6,6,1,,,,
262,2,2,1,,,,
263,3,4,1.333333333,,,,
264,5,6,1.2,,,,
265,3,5,1.666666667,,,,
266,4,3,0.75,,,,
267,1,1,1,,,,
268,1,2,2,,,,
269,12,7,0.583333333,,,,
270,7,7,1,,,,
271,7,3,0.428571429,,,,
272,4,3,0.75,,,,
273,2,1,0.5,,,,
274,8,7,0.875,,,,
275,6,5,0.833333333,,,,
276,5,7,1.4,,,,
277,12,6,0.5,,,,
278,7,6,0.857142857,,,,
279,7,5,0.714285714,,,,
280,11,6,0.545454545,,,,
281,14,8,0.571428571,,,,
282,5,5,1,,,,
283,7,4,0.571428571,,,,
284,2,2,1,,,,
285,2,4,2,,,,
286,6,3,0.5,,,,
287,2,4,2,,,,
288,4,2,0.5,,,,
289,1,2,2,,,,
290,1,1,1,,,,
291,3,0,0,,,,
292,3,7,2.333333333,,,,
293,13,7,0.538461538,,,,
294,5,3,0.6,,,,
295,3,2,0.666666667,,,,
296,12,4,0.333333333,,,,
297,11,6,0.545454545,,,,
298,1,2,2,,,,
299,10,6,0.6,,,,
300,9,6,0.666666667,,,,
301,4,6,1.5,,,,
302,7,3,0.428571429,,,,
303,2,3,1.5,,,,
304,2,2,1,,,,
305,2,0,0,,,,
306,5,4,0.8,,,,
307,1,1,1,,,,
308,11,7,0.636363636,,,,
309,1,3,3,,,,
310,6,4,0.666666667,,,,
311,8,6,0.75,,,,
312,10,7,0.7,,,,
313,11,8,0.727272727,,,,
314,6,4,0.666666667,,,,
315,3,3,1,,,,
316,8,7,0.875,,,,
317,6,7,1.166666667,,,,
318,6,5,0.833333333,,,,
319,3,3,1,,,,
320,2,1,0.5,,,,
321,5,4,0.8,,,,
322,14,8,0.571428571,,,,
323,6,6,1,,,,
324,4,3,0.75,,,,
325,5,3,0.6,,,,
326,3,4,1.333333333,,,,
327,6,3,0.5,,,,
328,8,8,1,,,,
329,8,7,0.875,,,,
330,11,6,0.545454545,,,,
331,19,12,0.631578947,,,,
332,11,9,0.818181818,,,,
333,10,2,0.2,,,,
334,15,8,0.533333333,,,,
335,3,2,0.666666667,,,,
336,8,1,0.125,,,,
338,6,6,1,,,,
339,6,3,0.5,,,,
340,10,4,0.4,,,,
341,9,7,0.777777778,,,,
342,11,10,0.909090909,,,,
343,10,7,0.7,,,,
344,17,12,0.705882353,,,,
345,5,4,0.8,,,,
346,14,9,0.642857143,,,,
347,6,3,0.5,,,,
348,4,3,0.75,,,,
349,6,5,0.833333333,,,,
350,7,4,0.571428571,,,,
351,1,4,4,,,,
352,5,4,0.8,,,,
353,11,5,0.454545455,,,,
354,11,8,0.727272727,,,,
355,9,8,0.888888889,,,,
356,8,6,0.75,,,,
357,13,11,0.846153846,,,,
358,10,4,0.4,,,,
359,9,5,0.555555556,,,,
360,12,8,0.666666667,,,,
361,10,8,0.8,,,,
362,16,11,0.6875,,,,
363,6,5,0.833333333,,,,
364,13,6,0.461538462,,,,
365,6,3,0.5,,,,
366,6,4,0.666666667,,,,
367,6,6,1,,,,
368,1,1,1,,,,
369,5,4,0.8,,,,
370,4,3,0.75,,,,
371,7,5,0.714285714,,,,
372,6,3,0.5,,,,
373,4,3,0.75,,,,
374,1,1,1,,,,
375,5,4,0.8,,,,
376,3,3,1,,,,
377,3,2,0.666666667,,,,
378,0,1,.,,,,
379,1,0,0,,,,
380,3,1,0.333333333,,,,
381,5,5,1,,,,
382,1,4,4,,,,
383,3,5,1.666666667,,,,
384,2,1,0.5,,,,
385,3,2,0.666666667,,,,
386,3,3,1,,,,
387,2,3,1.5,,,,
388,4,2,0.5,,,,
389,2,4,2,,,,
390,1,4,4,,,,
391,5,3,0.6,,,,
392,1,4,4,,,,
393,10,6,0.6,,,,
394,14,8,0.571428571,,,,
395,8,6,0.75,,,,
396,6,5,0.833333333,,,,
397,5,6,1.2,,,,
398,3,3,1,,,,
399,4,5,1.25,,,,
400,3,3,1,,,,
401,3,3,1,,,,
402,1,2,2,,,,
403,2,1,0.5,,,,
404,2,3,1.5,,,,
405,0,1,.,,,,
406,4,3,0.75,,,,
407,6,7,1.166666667,,,,
408,4,4,1,,,,
409,4,3,0.75,,,,
410,3,2,0.666666667,,,,
411,6,3,0.5,,,,
412,5,6,1.2,,,,
413,4,5,1.25,,,,
414,2,2,1,,,,
415,5,6,1.2,,,,
416,6,5,0.833333333,,,,
417,1,1,1,,,,
418,3,5,1.666666667,,,,
419,4,5,1.25,,,,
420,5,4,0.8,,,,
421,2,1,0.5,,,,
422,1,1,1,,,,
424,2,5,2.5,,,,
425,6,3,0.5,,,,
426,3,2,0.666666667,,,,
427,6,7,1.166666667,,,,
428,2,2,1,,,,
429,4,3,0.75,,,,
430,8,6,0.75,,,,
431,4,5,1.25,,,,
432,7,6,0.857142857,,,,
433,6,5,0.833333333,,,,
434,4,4,1,,,,
435,4,0,0,,,,
436,9,6,0.666666667,,,,
437,9,7,0.777777778,,,,
438,6,1,0.166666667,,,,
439,7,1,0.142857143,,,,
440,5,5,1,,,,
441,1,1,1,,,,
442,5,0,0,,,,
443,5,4,0.8,,,,
444,3,2,0.666666667,,,,
445,10,2,0.2,,,,
446,8,4,0.5,,,,
447,9,7,0.777777778,,,,
448,5,3,0.6,,,,
449,8,2,0.25,,,,
450,6,6,1,,,,
451,11,3,0.272727273,,,,
452,6,1,0.166666667,,,,
453,4,2,0.5,,,,
454,7,6,0.857142857,,,,
455,3,2,0.666666667,,,,
456,0,3,.,,,,
457,6,4,0.666666667,,,,
458,5,4,0.8,,,,
459,4,3,0.75,,,,
460,5,3,0.6,,,,
461,0,2,.,,,,
462,11,6,0.545454545,,,,
463,6,5,0.833333333,,,,
464,6,4,0.666666667,,,,
465,9,7,0.777777778,,,,
466,4,7,1.75,,,,
467,2,1,0.5,,,,
468,2,1,0.5,,,,
469,6,3,0.5,,,,
470,6,5,0.833333333,,,,
471,6,5,0.833333333,,,,
472,5,6,1.2,,,,
473,5,5,1,,,,
474,5,2,0.4,,,,
475,5,9,1.8,,,,
476,8,6,0.75,,,,
477,14,5,0.357142857,,,,
478,6,2,0.333333333,,,,
479,10,7,0.7,,,,
480,5,2,0.4,,,,
481,7,4,0.571428571,,,,
482,6,7,1.166666667,,,,
483,7,5,0.714285714,,,,
484,9,5,0.555555556,,,,
485,12,8,0.666666667,,,,
486,7,6,0.857142857,,,,
487,6,5,0.833333333,,,,
489,6,3,0.5,,,,
490,7,5,0.714285714,,,,
491,8,7,0.875,,,,
492,9,5,0.555555556,,,,
493,7,5,0.714285714,,,,
494,5,3,0.6,,,,
495,3,2,0.666666667,,,,
496,0,0,.,,,,
497,1,0,0,,,,
498,3,4,1.333333333,,,,
499,4,4,1,,,,
500,3,4,1.333333333,,,,
501,3,2,0.666666667,,,,
502,5,4,0.8,,,,
503,1,3,3,,,,
504,5,6,1.2,,,,
505,4,4,1,,,,
506,1,4,4,,,,
507,5,3,0.6,,,,
508,4,1,0.25,,,,
509,0,2,.,,,,
510,4,4,1,,,,
511,3,2,0.666666667,,,,
512,5,1,0.2,,,,
513,3,2,0.666666667,,,,
514,3,4,1.333333333,,,,
515,4,4,1,,,,
516,7,3,0.428571429,,,,
517,4,7,1.75,,,,
518,2,5,2.5,,,,
519,4,3,0.75,,,,
520,4,4,1,,,,
521,3,6,2,,,,
522,3,4,1.333333333,,,,
523,5,5,1,,,,
524,5,6,1.2,,,,
525,3,4,1.333333333,,,,
526,4,7,1.75,,,,
527,4,2,0.5,,,,
528,3,6,2,,,,
529,1,3,3,,,,
530,5,3,0.6,,,,
531,5,4,0.8,,,,
532,2,2,1,,,,
533,2,2,1,,,,
534,0,1,.,,,,
535,3,1,0.333333333,,,,
536,3,1,0.333333333,,,,
537,5,1,0.2,,,,
538,1,2,2,,,,
539,4,4,1,,,,
540,1,4,4,,,,
541,5,4,0.8,,,,
542,2,2,1,,,,
543,2,3,1.5,,,,
544,2,4,2,,,,
545,4,2,0.5,,,,
546,6,2,0.333333333,,,,
547,5,4,0.8,,,,
548,1,2,2,,,,
549,1,2,2,,,,
550,1,1,1,,,,
551,0,2,.,,,,
552,1,2,2,,,,
553,3,2,0.666666667,,,,
554,1,1,1,,,,
555,3,4,1.333333333,,,,
556,2,3,1.5,,,,
557,8,6,0.75,,,,
558,4,6,1.5,,,,
559,7,7,1,,,,
560,4,5,1.25,,,,
561,8,5,0.625,,,,
562,4,7,1.75,,,,
563,3,4,1.333333333,,,,
564,0,1,.,,,,
565,5,3,0.6,,,,
566,5,5,1,,,,
567,3,5,1.666666667,,,,
568,4,4,1,,,,
569,1,2,2,,,,
570,1,2,2,,,,
571,6,3,0.5,,,,
572,3,4,1.333333333,,,,
573,4,3,0.75,,,,
574,2,0,0,,,,
575,3,3,1,,,,
576,2,2,1,,,,
577,6,3,0.5,,,,
578,3,4,1.333333333,,,,
579,2,4,2,,,,
580,4,3,0.75,,,,
581,3,4,1.333333333,,,,
582,4,6,1.5,,,,
583,2,4,2,,,,
584,0,3,.,,,,
585,2,3,1.5,,,,
586,5,4,0.8,,,,
587,2,3,1.5,,,,
588,9,6,0.666666667,,,,
589,8,6,0.75,,,,
590,4,4,1,,,,
591,3,4,1.333333333,,,,
592,4,1,0.25,,,,
593,5,4,0.8,,,,
594,5,9,1.8,,,,
595,3,0,0,,,,
596,3,3,1,,,,
597,5,6,1.2,,,,
598,3,4,1.333333333,,,,
599,2,5,2.5,,,,
600,3,1,0.333333333,,,,
601,8,8,1,,,,
602,3,2,0.666666667,,,,
603,3,3,1,,,,
604,3,3,1,,,,
605,4,5,1.25,,,,
606,10,5,0.5,,,,
607,6,3,0.5,,,,
608,4,3,0.75,,,,
609,4,3,0.75,,,,
610,2,5,2.5,,,,
611,2,3,1.5,,,,
612,5,3,0.6,,,,
613,1,0,0,,,,
614,6,8,1.333333333,,,,
615,9,5,0.555555556,,,,
616,12,7,0.583333333,,,,
617,7,5,0.714285714,,,,
618,3,4,1.333333333,,,,
619,1,3,3,,,,
620,4,3,0.75,,,,
621,3,2,0.666666667,,,,
622,4,2,0.5,,,,
623,5,4,0.8,,,,
624,5,2,0.4,,,,
625,3,5,1.666666667,,,,
626,5,3,0.6,,,,
627,13,6,0.461538462,,,,
628,6,3,0.5,,,,
629,4,3,0.75,,,,
630,1,3,3,,,,
631,5,4,0.8,,,,
632,2,3,1.5,,,,
633,2,3,1.5,,,,
634,6,3,0.5,,,,
635,2,3,1.5,,,,
636,6,5,0.833333333,,,,
637,4,5,1.25,,,,
638,8,7,0.875,,,,
639,2,4,2,,,,
640,3,1,0.333333333,,,,
641,3,1,0.333333333,,,,
642,8,6,0.75,,,,
643,6,4,0.666666667,,,,
644,2,4,2,,,,
645,4,5,1.25,,,,
646,5,5,1,,,,
647,6,4,0.666666667,,,,
648,4,5,1.25,,,,
649,9,6,0.666666667,,,,
650,7,7,1,,,,
651,5,5,1,,,,
652,4,3,0.75,,,,
653,6,7,1.166666667,,,,
654,5,2,0.4,,,,
655,5,6,1.2,,,,
656,4,6,1.5,,,,
657,3,1,0.333333333,,,,
658,4,4,1,,,,
659,7,3,0.428571429,,,,
660,3,2,0.666666667,,,,
661,2,4,2,,,,
662,5,7,1.4,,,,
663,5,2,0.4,,,,
664,3,4,1.333333333,,,,
665,8,4,0.5,,,,
666,5,2,0.4,,,,
667,2,3,1.5,,,,
668,6,6,1,,,,
669,6,5,0.833333333,,,,
670,2,3,1.5,,,,
671,0,5,.,,,,
672,5,3,0.6,,,,
673,4,5,1.25,,,,
674,6,4,0.666666667,,,,
675,5,4,0.8,,,,
676,7,4,0.571428571,,,,
677,2,3,1.5,,,,
678,3,5,1.666666667,,,,
679,5,5,1,,,,
680,4,3,0.75,,,,
681,11,7,0.636363636,,,,
682,5,8,1.6,,,,
683,2,4,2,,,,
684,3,4,1.333333333,,,,
685,7,8,1.142857143,,,,
686,2,3,1.5,,,,
687,3,1,0.333333333,,,,
688,0,2,.,,,,
689,5,3,0.6,,,,
690,3,6,2,,,,
691,7,3,0.428571429,,,,
692,7,3,0.428571429,,,,
693,4,2,0.5,,,,
694,4,6,1.5,,,,
695,2,1,0.5,,,,
696,3,5,1.666666667,,,,
697,4,5,1.25,,,,
698,2,2,1,,,,
699,3,4,1.333333333,,,,
700,7,5,0.714285714,,,,
701,1,4,4,,,,
702,9,5,0.555555556,,,,
703,7,4,0.571428571,,,,
704,8,5,0.625,,,,
705,7,3,0.428571429,,,,
706,6,6,1,,,,
707,7,8,1.142857143,,,,
708,8,5,0.625,,,,
709,4,2,0.5,,,,
710,8,5,0.625,,,,
712,7,0,0,,,,
713,3,0,0,,,,
714,10,1,0.1,,,,
715,8,3,0.375,,,,
716,7,2,0.285714286,,,,
717,7,6,0.857142857,,,,
718,10,6,0.6,,,,
719,12,7,0.583333333,,,,
720,9,2,0.222222222,,,,
721,4,3,0.75,,,,
722,7,2,0.285714286,,,,
724,8,6,0.75,,,,
726,5,1,0.2,,,,
727,6,3,0.5,,,,
728,9,6,0.666666667,,,,
729,8,5,0.625,,,,
730,2,3,1.5,,,,
731,8,4,0.5,,,,
732,7,4,0.571428571,,,,
733,3,0,0,,,,
734,12,2,0.166666667,,,,
735,11,1,0.090909091,,,,
736,8,3,0.375,,,,
737,8,5,0.625,,,,
738,8,1,0.125,,,,
739,9,7,0.777777778,,,,
741,6,2,0.333333333,,,,
742,5,3,0.6,,,,
743,9,4,0.444444444,,,,
744,6,1,0.166666667,,,,
745,13,2,0.153846154,,,,
746,0,3,.,,,,
747,6,5,0.833333333,,,,
748,9,7,0.777777778,,,,
749,6,4,0.666666667,,,,
750,10,7,0.7,,,,
751,7,6,0.857142857,,,,
752,9,9,1,,,,
753,11,3,0.272727273,,,,
754,10,4,0.4,,,,
755,13,3,0.230769231,,,,
756,7,4,0.571428571,,,,
757,9,2,0.222222222,,,,
760,5,1,0.2,,,,
761,7,4,0.571428571,,,,
762,6,1,0.166666667,,,,
764,9,2,0.222222222,,,,
766,7,0,0,,,,
768,4,1,0.25,,,,
769,3,1,0.333333333,,,,
770,8,2,0.25,,,,
771,3,4,1.333333333,,,,
772,1,2,2,,,,
773,2,2,1,,,,
774,4,7,1.75,,,,
775,7,5,0.714285714,,,,
776,5,4,0.8,,,,
777,0,0,.,,,,
778,2,2,1,,,,
779,10,0,0,,,,
780,0,0,.,,,,
781,7,8,1.142857143,,,,
782,1,1,1,,,,
783,4,2,0.5,,,,
784,8,0,0,,,,
785,6,1,0.166666667,,,,
786,1,0,0,,,,
787,1,0,0,,,,
788,5,4,0.8,,,,
789,6,5,0.833333333,,,,
790,8,3,0.375,,,,
791,4,6,1.5,,,,
792,6,5,0.833333333,,,,
793,6,5,0.833333333,,,,
794,5,4,0.8,,,,
795,2,0,0,,,,
796,6,2,0.333333333,,,,
797,4,0,0,,,,
798,6,0,0,,,,
799,8,2,0.25,,,,
801,2,4,2,,,,
802,4,3,0.75,,,,
803,5,2,0.4,,,,
804,3,3,1,,,,
805,4,2,0.5,,,,
806,4,5,1.25,,,,
807,4,1,0.25,,,,
808,6,7,1.166666667,,,,
809,5,6,1.2,,,,
810,5,2,0.4,,,,
811,4,6,1.5,,,,
812,6,4,0.666666667,,,,
813,4,3,0.75,,,,
814,6,4,0.666666667,,,,
815,5,5,1,,,,
816,5,7,1.4,,,,
817,6,2,0.333333333,,,,
818,4,2,0.5,,,,
819,6,3,0.5,,,,
820,8,1,0.125,,,,
821,4,2,0.5,,,,
822,8,3,0.375,,,,
823,5,7,1.4,,,,
824,4,3,0.75,,,,
825,2,3,1.5,,,,
826,5,4,0.8,,,,
827,5,6,1.2,,,,
828,2,2,1,,,,
829,5,4,0.8,,,,
830,4,4,1,,,,
831,6,4,0.666666667,,,,
832,9,5,0.555555556,,,,
833,9,4,0.444444444,,,,
834,6,6,1,,,,
835,7,4,0.571428571,,,,
836,4,3,0.75,,,,
837,2,2,1,,,,
838,3,5,1.666666667,,,,
839,5,4,0.8,,,,
840,3,6,2,,,,
841,1,5,5,,,,
842,4,4,1,,,,
843,7,6,0.857142857,,,,
844,3,2,0.666666667,,,,
845,3,2,0.666666667,,,,
846,6,4,0.666666667,,,,
847,4,1,0.25,,,,
848,4,6,1.5,,,,
849,2,2,1,,,,
850,6,6,1,,,,
851,6,4,0.666666667,,,,
852,7,5,0.714285714,,,,
853,10,7,0.7,,,,
854,2,3,1.5,,,,
855,6,3,0.5,,,,
856,7,4,0.571428571,,,,
857,2,1,0.5,,,,
858,7,5,0.714285714,,,,
859,9,8,0.888888889,,,,
860,3,5,1.666666667,,,,
861,2,2,1,,,,
862,3,3,1,,,,
863,4,3,0.75,,,,
864,3,5,1.666666667,,,,
865,7,6,0.857142857,,,,
866,4,2,0.5,,,,
867,4,4,1,,,,
868,11,6,0.545454545,,,,
869,9,4,0.444444444,,,,
870,8,4,0.5,,,,
871,5,4,0.8,,,,
872,6,3,0.5,,,,
873,7,3,0.428571429,,,,
874,9,4,0.444444444,,,,
875,7,4,0.571428571,,,,
876,5,4,0.8,,,,
877,12,8,0.666666667,,,,
878,9,6,0.666666667,,,,
879,7,6,0.857142857,,,,
880,5,6,1.2,,,,
881,6,5,0.833333333,,,,
882,5,6,1.2,,,,
883,9,5,0.555555556,,,,
884,5,4,0.8,,,,
885,2,4,2,,,,
886,7,5,0.714285714,,,,
887,9,3,0.333333333,,,,
888,5,7,1.4,,,,
889,6,5,0.833333333,,,,
890,11,8,0.727272727,,,,
891,8,5,0.625,,,,
892,12,5,0.416666667,,,,
893,5,3,0.6,,,,
894,11,6,0.545454545,,,,
895,5,4,0.8,,,,
896,8,7,0.875,,,,
897,7,4,0.571428571,,,,
898,3,5,1.666666667,,,,
899,10,7,0.7,,,,
900,8,7,0.875,,,,
901,7,8,1.142857143,,,,
902,9,7,0.777777778,,,,
903,8,7,0.875,,,,
904,10,7,0.7,,,,
905,8,6,0.75,,,,
906,3,4,1.333333333,,,,
907,5,6,1.2,,,,
908,5,5,1,,,,
909,1,5,5,,,,
910,7,6,0.857142857,,,,
911,5,7,1.4,,,,
912,9,8,0.888888889,,,,
913,2,1,0.5,,,,
914,7,3,0.428571429,,,,
915,7,8,1.142857143,,,,
916,5,4,0.8,,,,
917,7,6,0.857142857,,,,
918,8,6,0.75,,,,
919,11,8,0.727272727,,,,
920,9,3,0.333333333,,,,
921,5,5,1,,,,
922,8,5,0.625,,,,
923,7,8,1.142857143,,,,
924,10,7,0.7,,,,
925,8,3,0.375,,,,
926,9,6,0.666666667,,,,
927,7,6,0.857142857,,,,
928,4,6,1.5,,,,
929,5,5,1,,,,
930,7,6,0.857142857,,,,
931,10,5,0.5,,,,
932,3,4,1.333333333,,,,
933,8,4,0.5,,,,
934,5,2,0.4,,,,
935,6,5,0.833333333,,,,
936,5,5,1,,,,
937,11,8,0.727272727,,,,
938,6,3,0.5,,,,
939,6,3,0.5,,,,
940,3,3,1,,,,
941,2,1,0.5,,,,
942,5,5,1,,,,
943,4,4,1,,,,
944,4,3,0.75,,,,
945,5,6,1.2,,,,
946,7,7,1,,,,
947,3,3,1,,,,
948,6,7,1.166666667,,,,
949,4,4,1,,,,
950,6,4,0.666666667,,,,
951,1,3,3,,,,
952,6,5,0.833333333,,,,
953,5,6,1.2,,,,
954,5,3,0.6,,,,
955,7,5,0.714285714,,,,
956,6,6,1,,,,
957,5,6,1.2,,,,
958,2,5,2.5,,,,
959,3,5,1.666666667,,,,
960,4,5,1.25,,,,
961,2,3,1.5,,,,
962,10,8,0.8,,,,
963,8,5,0.625,,,,
964,4,1,0.25,,,,
965,3,3,1,,,,
966,4,2,0.5,,,,
967,6,6,1,,,,
968,3,5,1.666666667,,,,
969,3,3,1,,,,
970,7,7,1,,,,
971,5,5,1,,,,
972,6,1,0.166666667,,,,
973,6,5,0.833333333,,,,
974,4,4,1,,,,
975,10,5,0.5,,,,
976,3,1,0.333333333,,,,
977,7,3,0.428571429,,,,
978,1,3,3,,,,
979,3,4,1.333333333,,,,
980,4,3,0.75,,,,
981,2,4,2,,,,
982,4,6,1.5,,,,
983,0,3,.,,,,
