Definition: ,"Percentage of women with a live birth or a stillbirth in the last 2 years, distributed by number of months pregnant at time of first antenatal care visit for most recent birth",,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey (m80 = 1 or 3 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.27763809,,National weighted average,,,28.7,DHS report,29
,,,,,,,,
,,,,,,,,
v001,birthsw,anc4mow,,,,,,
926,1,1,1,,,,,
927,3,3,1,,,,,
928,3,0,0,,,,,
929,4,3,0.75,,,,,
930,3,1,0.333333333,,,,,
931,7,1,0.142857143,,,,,
932,4,2,0.5,,,,,
933,5,4,0.8,,,,,
934,3,2,0.666666667,,,,,
935,6,0,0,,,,,
936,7,3,0.428571429,,,,,
937,7,2,0.285714286,,,,,
938,2,0,0,,,,,
939,3,2,0.666666667,,,,,
940,8,0,0,,,,,
941,4,2,0.5,,,,,
942,6,1,0.166666667,,,,,
943,4,1,0.25,,,,,
944,5,0,0,,,,,
945,9,1,0.111111111,,,,,
946,4,2,0.5,,,,,
947,5,1,0.2,,,,,
948,6,1,0.166666667,,,,,
949,1,1,1,,,,,
950,4,1,0.25,,,,,
951,5,1,0.2,,,,,
952,3,1,0.333333333,,,,,
953,5,0,0,,,,,
954,2,0,0,,,,,
955,4,1,0.25,,,,,
956,2,1,0.5,,,,,
957,3,0,0,,,,,
958,2,0,0,,,,,
959,7,2,0.285714286,,,,,
960,4,2,0.5,,,,,
961,8,3,0.375,,,,,
962,3,1,0.333333333,,,,,
963,9,3,0.333333333,,,,,
964,7,1,0.142857143,,,,,
965,8,0,0,,,,,
966,4,1,0.25,,,,,
967,1,1,1,,,,,
968,5,0,0,,,,,
969,8,1,0.125,,,,,
970,7,0,0,,,,,
971,2,0,0,,,,,
972,5,0,0,,,,,
973,5,0,0,,,,,
974,7,0,0,,,,,
975,2,0,0,,,,,
976,4,1,0.25,,,,,
977,2,0,0,,,,,
978,6,1,0.166666667,,,,,
979,7,2,0.285714286,,,,,
980,1,0,0,,,,,
981,7,3,0.428571429,,,,,
982,4,0,0,,,,,
983,4,0,0,,,,,
984,5,1,0.2,,,,,
985,8,1,0.125,,,,,
986,2,0,0,,,,,
987,2,0,0,,,,,
988,0,0,.,,,,,
989,8,0,0,,,,,
990,2,0,0,,,,,
991,2,0,0,,,,,
992,5,0,0,,,,,
993,6,1,0.166666667,,,,,
994,3,0,0,,,,,
995,1,0,0,,,,,
996,3,1,0.333333333,,,,,
997,5,2,0.4,,,,,
998,4,1,0.25,,,,,
999,3,0,0,,,,,
1000,5,1,0.2,,,,,
1001,4,0,0,,,,,
1002,3,1,0.333333333,,,,,
1003,4,1,0.25,,,,,
1004,3,0,0,,,,,
1005,0,0,.,,,,,
1006,3,1,0.333333333,,,,,
1007,3,0,0,,,,,
1008,2,1,0.5,,,,,
1009,5,1,0.2,,,,,
1010,6,3,0.5,,,,,
1011,8,1,0.125,,,,,
1012,7,0,0,,,,,
1013,3,1,0.333333333,,,,,
1014,2,0,0,,,,,
1015,9,1,0.111111111,,,,,
1016,1,0,0,,,,,
1017,7,1,0.142857143,,,,,
1018,5,0,0,,,,,
1019,6,2,0.333333333,,,,,
1020,5,0,0,,,,,
1021,4,0,0,,,,,
1022,6,2,0.333333333,,,,,
1023,2,0,0,,,,,
1024,1,0,0,,,,,
1025,7,1,0.142857143,,,,,
1026,3,0,0,,,,,
1027,6,1,0.166666667,,,,,
1028,10,5,0.5,,,,,
1029,3,0,0,,,,,
1030,2,0,0,,,,,
1031,6,0,0,,,,,
1032,6,1,0.166666667,,,,,
1033,6,1,0.166666667,,,,,
1034,6,1,0.166666667,,,,,
1035,5,0,0,,,,,
1036,2,1,0.5,,,,,
1037,5,0,0,,,,,
1038,5,1,0.2,,,,,
1039,2,1,0.5,,,,,
1040,4,2,0.5,,,,,
1041,6,1,0.166666667,,,,,
1042,4,0,0,,,,,
1043,3,1,0.333333333,,,,,
1044,8,3,0.375,,,,,
1045,6,2,0.333333333,,,,,
1046,2,0,0,,,,,
1047,7,2,0.285714286,,,,,
1048,9,0,0,,,,,
1049,5,0,0,,,,,
1050,3,0,0,,,,,
1051,3,1,0.333333333,,,,,
1052,9,1,0.111111111,,,,,
1053,6,2,0.333333333,,,,,
1054,16,4,0.25,,,,,
1055,4,3,0.75,,,,,
1056,3,0,0,,,,,
1057,2,1,0.5,,,,,
1058,2,1,0.5,,,,,
1059,5,1,0.2,,,,,
1060,2,1,0.5,,,,,
1061,2,1,0.5,,,,,
1062,3,0,0,,,,,
1063,3,2,0.666666667,,,,,
1064,4,2,0.5,,,,,
1065,2,1,0.5,,,,,
1066,3,0,0,,,,,
1067,6,2,0.333333333,,,,,
1069,5,3,0.6,,,,,
1070,3,0,0,,,,,
1071,8,3,0.375,,,,,
1072,3,0,0,,,,,
1073,5,0,0,,,,,
1074,3,1,0.333333333,,,,,
1075,2,0,0,,,,,
1076,5,1,0.2,,,,,
1077,3,1,0.333333333,,,,,
1078,1,0,0,,,,,
1079,1,0,0,,,,,
1080,6,1,0.166666667,,,,,
1081,3,0,0,,,,,
1082,0,0,.,,,,,
1083,2,0,0,,,,,
1084,3,0,0,,,,,
1085,3,0,0,,,,,
1086,3,2,0.666666667,,,,,
1087,5,1,0.2,,,,,
1088,3,1,0.333333333,,,,,
1089,4,1,0.25,,,,,
1090,8,2,0.25,,,,,
1091,2,0,0,,,,,
1092,6,0,0,,,,,
1093,4,2,0.5,,,,,
1094,2,0,0,,,,,
1095,4,3,0.75,,,,,
1096,3,2,0.666666667,,,,,
1097,5,1,0.2,,,,,
1098,4,0,0,,,,,
1099,4,0,0,,,,,
1100,3,1,0.333333333,,,,,
1101,2,0,0,,,,,
1102,1,0,0,,,,,
1103,1,0,0,,,,,
1104,6,2,0.333333333,,,,,
1105,9,3,0.333333333,,,,,
1106,8,3,0.375,,,,,
1107,5,3,0.6,,,,,
1108,3,1,0.333333333,,,,,
1109,6,5,0.833333333,,,,,
1110,3,0,0,,,,,
1111,6,1,0.166666667,,,,,
1112,5,3,0.6,,,,,
1113,6,2,0.333333333,,,,,
1114,2,1,0.5,,,,,
1115,1,0,0,,,,,
1116,4,1,0.25,,,,,
1117,1,1,1,,,,,
1118,3,1,0.333333333,,,,,
1119,4,1,0.25,,,,,
1120,3,0,0,,,,,
1121,3,0,0,,,,,
1122,10,2,0.2,,,,,
1123,8,3,0.375,,,,,
1124,3,2,0.666666667,,,,,
1125,3,3,1,,,,,
1126,5,2,0.4,,,,,
1127,2,0,0,,,,,
1128,6,3,0.5,,,,,
1129,8,2,0.25,,,,,
1130,12,3,0.25,,,,,
1131,3,0,0,,,,,
1132,2,1,0.5,,,,,
1133,10,1,0.1,,,,,
1134,5,1,0.2,,,,,
1135,5,2,0.4,,,,,
1136,8,2,0.25,,,,,
1137,2,0,0,,,,,
1138,5,1,0.2,,,,,
1139,3,0,0,,,,,
1140,2,0,0,,,,,
1141,2,1,0.5,,,,,
1142,9,0,0,,,,,
1143,9,0,0,,,,,
1144,8,2,0.25,,,,,
1145,8,1,0.125,,,,,
1146,5,2,0.4,,,,,
1147,11,4,0.363636364,,,,,
1148,2,0,0,,,,,
1149,7,3,0.428571429,,,,,
1150,6,0,0,,,,,
1151,10,3,0.3,,,,,
1152,6,1,0.166666667,,,,,
1153,3,1,0.333333333,,,,,
1154,10,0,0,,,,,
1155,8,2,0.25,,,,,
1156,8,0,0,,,,,
1157,8,0,0,,,,,
1158,4,1,0.25,,,,,
1159,10,1,0.1,,,,,
1160,12,4,0.333333333,,,,,
1161,6,1,0.166666667,,,,,
1162,6,1,0.166666667,,,,,
1163,5,2,0.4,,,,,
1164,12,3,0.25,,,,,
1165,7,3,0.428571429,,,,,
1166,2,1,0.5,,,,,
1167,4,1,0.25,,,,,
1168,2,0,0,,,,,
1169,4,1,0.25,,,,,
1170,5,1,0.2,,,,,
1171,2,0,0,,,,,
1172,5,3,0.6,,,,,
1173,3,1,0.333333333,,,,,
1174,3,1,0.333333333,,,,,
1175,7,4,0.571428571,,,,,
1176,2,1,0.5,,,,,
1177,6,3,0.5,,,,,
1178,4,2,0.5,,,,,
1179,3,0,0,,,,,
1180,5,2,0.4,,,,,
1181,5,5,1,,,,,
1182,5,1,0.2,,,,,
1183,2,1,0.5,,,,,
1184,2,0,0,,,,,
1185,0,0,.,,,,,
1186,3,1,0.333333333,,,,,
1187,4,1,0.25,,,,,
1188,4,1,0.25,,,,,
1189,9,4,0.444444444,,,,,
1190,5,2,0.4,,,,,
1191,6,0,0,,,,,
1192,8,2,0.25,,,,,
1193,11,2,0.181818182,,,,,
1194,3,1,0.333333333,,,,,
1195,3,0,0,,,,,
1196,4,3,0.75,,,,,
1197,3,1,0.333333333,,,,,
1198,9,5,0.555555556,,,,,
1199,3,1,0.333333333,,,,,
1200,2,0,0,,,,,
1201,8,0,0,,,,,
1202,3,1,0.333333333,,,,,
1203,5,0,0,,,,,
1204,4,2,0.5,,,,,
1205,4,0,0,,,,,
1206,5,1,0.2,,,,,
1207,2,1,0.5,,,,,
1208,7,2,0.285714286,,,,,
1209,5,1,0.2,,,,,
1210,3,0,0,,,,,
1211,4,3,0.75,,,,,
1212,2,1,0.5,,,,,
1213,9,2,0.222222222,,,,,
1214,5,2,0.4,,,,,
1215,2,1,0.5,,,,,
1216,2,1,0.5,,,,,
1217,7,2,0.285714286,,,,,
1218,4,2,0.5,,,,,
1219,6,2,0.333333333,,,,,
1220,2,0,0,,,,,
1221,4,0,0,,,,,
1222,2,2,1,,,,,
1223,4,3,0.75,,,,,
1224,1,1,1,,,,,
1225,3,1,0.333333333,,,,,
1226,3,2,0.666666667,,,,,
1227,8,2,0.25,,,,,
1228,7,0,0,,,,,
1229,1,0,0,,,,,
1230,4,1,0.25,,,,,
1231,5,0,0,,,,,
1232,5,0,0,,,,,
1233,8,1,0.125,,,,,
1234,2,0,0,,,,,
1235,4,1,0.25,,,,,
1236,6,0,0,,,,,
1237,9,0,0,,,,,
1238,2,0,0,,,,,
1239,4,1,0.25,,,,,
1240,3,0,0,,,,,
1241,8,3,0.375,,,,,
1242,3,1,0.333333333,,,,,
1243,5,1,0.2,,,,,
1244,4,0,0,,,,,
1245,3,0,0,,,,,
1246,5,0,0,,,,,
1247,8,3,0.375,,,,,
1248,4,1,0.25,,,,,
1249,4,1,0.25,,,,,
1250,5,2,0.4,,,,,
1251,3,0,0,,,,,
1252,3,1,0.333333333,,,,,
1253,3,0,0,,,,,
1254,2,1,0.5,,,,,
1255,3,2,0.666666667,,,,,
1256,4,0,0,,,,,
1257,6,0,0,,,,,
1258,7,0,0,,,,,
1259,2,1,0.5,,,,,
1260,7,2,0.285714286,,,,,
1261,4,1,0.25,,,,,
1262,5,1,0.2,,,,,
1263,10,1,0.1,,,,,
1264,4,2,0.5,,,,,
1265,7,1,0.142857143,,,,,
1266,4,1,0.25,,,,,
1267,4,1,0.25,,,,,
1268,6,1,0.166666667,,,,,
1269,4,1,0.25,,,,,
1270,3,0,0,,,,,
1271,2,0,0,,,,,
1272,6,0,0,,,,,
1273,3,2,0.666666667,,,,,
1274,3,1,0.333333333,,,,,
1275,5,2,0.4,,,,,
1276,4,2,0.5,,,,,
1277,2,0,0,,,,,
1278,7,2,0.285714286,,,,,
1279,4,3,0.75,,,,,
1280,4,3,0.75,,,,,
1281,5,1,0.2,,,,,
1282,7,4,0.571428571,,,,,
1283,4,0,0,,,,,
1284,5,0,0,,,,,
1285,2,1,0.5,,,,,
1286,6,2,0.333333333,,,,,
1287,5,0,0,,,,,
1288,6,1,0.166666667,,,,,
1289,4,3,0.75,,,,,
1290,4,1,0.25,,,,,
1291,0,0,.,,,,,
1292,3,1,0.333333333,,,,,
1293,5,1,0.2,,,,,
1294,6,1,0.166666667,,,,,
1295,5,2,0.4,,,,,
1296,9,2,0.222222222,,,,,
1297,9,6,0.666666667,,,,,
1298,3,2,0.666666667,,,,,
1299,4,1,0.25,,,,,
1300,4,1,0.25,,,,,
1301,7,3,0.428571429,,,,,
1302,4,3,0.75,,,,,
1303,6,1,0.166666667,,,,,
1304,4,1,0.25,,,,,
1305,7,5,0.714285714,,,,,
1306,4,0,0,,,,,
1307,3,1,0.333333333,,,,,
1308,4,1,0.25,,,,,
1309,7,1,0.142857143,,,,,
1310,3,1,0.333333333,,,,,
1311,6,1,0.166666667,,,,,
1312,2,2,1,,,,,
1313,2,1,0.5,,,,,
1314,3,3,1,,,,,
1315,3,1,0.333333333,,,,,
1316,2,1,0.5,,,,,
1317,3,2,0.666666667,,,,,
1318,4,1,0.25,,,,,
1319,3,2,0.666666667,,,,,
1320,2,0,0,,,,,
1321,6,5,0.833333333,,,,,
1322,2,1,0.5,,,,,
1323,3,1,0.333333333,,,,,
1324,1,0,0,,,,,
1325,4,4,1,,,,,
1326,6,2,0.333333333,,,,,
1327,4,1,0.25,,,,,
1328,4,2,0.5,,,,,
1329,3,2,0.666666667,,,,,
1330,3,1,0.333333333,,,,,
1331,5,2,0.4,,,,,
1332,3,1,0.333333333,,,,,
1333,4,3,0.75,,,,,
1334,5,3,0.6,,,,,
1335,3,1,0.333333333,,,,,
1336,8,4,0.5,,,,,
1337,5,4,0.8,,,,,
1338,3,2,0.666666667,,,,,
1339,3,3,1,,,,,
1340,5,2,0.4,,,,,
1341,10,5,0.5,,,,,
1342,5,3,0.6,,,,,
1343,2,1,0.5,,,,,
1344,2,1,0.5,,,,,
1345,5,3,0.6,,,,,
1346,6,4,0.666666667,,,,,
1347,3,2,0.666666667,,,,,
1348,4,3,0.75,,,,,
1349,5,1,0.2,,,,,
1350,4,4,1,,,,,
1351,3,1,0.333333333,,,,,
1352,4,3,0.75,,,,,
1353,6,3,0.5,,,,,
1354,3,2,0.666666667,,,,,
1355,8,3,0.375,,,,,
1356,5,1,0.2,,,,,
1357,5,3,0.6,,,,,
1358,6,3,0.5,,,,,
1359,5,1,0.2,,,,,
1360,3,1,0.333333333,,,,,
1361,3,0,0,,,,,
1362,7,4,0.571428571,,,,,
1363,5,1,0.2,,,,,
1364,8,3,0.375,,,,,
1365,4,0,0,,,,,
1366,5,3,0.6,,,,,
1367,5,2,0.4,,,,,
1368,2,0,0,,,,,
1369,7,1,0.142857143,,,,,
1370,3,1,0.333333333,,,,,
1371,5,1,0.2,,,,,
1372,7,0,0,,,,,
1373,4,1,0.25,,,,,
1374,5,1,0.2,,,,,
1375,6,1,0.166666667,,,,,
1376,6,3,0.5,,,,,
1377,8,3,0.375,,,,,
1378,4,1,0.25,,,,,
1379,1,0,0,,,,,
1380,4,2,0.5,,,,,
1381,5,2,0.4,,,,,
1382,4,3,0.75,,,,,
1383,6,2,0.333333333,,,,,
1384,2,1,0.5,,,,,
1385,3,0,0,,,,,
1386,2,0,0,,,,,
1387,9,3,0.333333333,,,,,
1388,5,2,0.4,,,,,
1389,1,1,1,,,,,
1390,5,1,0.2,,,,,
1391,6,2,0.333333333,,,,,
1392,4,3,0.75,,,,,
1393,5,3,0.6,,,,,
1394,3,1,0.333333333,,,,,
1395,6,1,0.166666667,,,,,
1396,6,2,0.333333333,,,,,
1397,4,0,0,,,,,
1398,4,2,0.5,,,,,
1399,10,1,0.1,,,,,
1400,3,2,0.666666667,,,,,
1401,7,1,0.142857143,,,,,
1402,4,0,0,,,,,
1403,6,2,0.333333333,,,,,
1404,3,0,0,,,,,
1405,2,0,0,,,,,
1406,7,1,0.142857143,,,,,
1407,3,0,0,,,,,
1408,5,2,0.4,,,,,
1409,8,1,0.125,,,,,
1410,4,2,0.5,,,,,
1411,5,1,0.2,,,,,
1412,10,7,0.7,,,,,
1413,5,2,0.4,,,,,
1414,10,3,0.3,,,,,
1415,9,2,0.222222222,,,,,
1416,6,1,0.166666667,,,,,
1417,5,2,0.4,,,,,
1418,5,3,0.6,,,,,
1419,5,0,0,,,,,
1420,7,3,0.428571429,,,,,
1421,5,1,0.2,,,,,
1422,4,0,0,,,,,
1423,6,3,0.5,,,,,
1424,3,1,0.333333333,,,,,
1425,4,2,0.5,,,,,
1426,3,0,0,,,,,
1427,5,2,0.4,,,,,
1428,6,3,0.5,,,,,
1429,5,1,0.2,,,,,
1430,3,2,0.666666667,,,,,
1431,7,3,0.428571429,,,,,
1432,5,0,0,,,,,
1433,4,0,0,,,,,
1434,2,0,0,,,,,
1435,5,5,1,,,,,
1436,3,1,0.333333333,,,,,
1437,3,0,0,,,,,
1438,4,2,0.5,,,,,
1439,4,2,0.5,,,,,
1440,1,0,0,,,,,
1441,3,0,0,,,,,
1442,3,1,0.333333333,,,,,
1443,4,2,0.5,,,,,
1444,5,0,0,,,,,
1445,2,1,0.5,,,,,
1446,3,2,0.666666667,,,,,
1447,3,0,0,,,,,
1448,4,1,0.25,,,,,
1449,4,0,0,,,,,
1450,8,2,0.25,,,,,
1451,5,4,0.8,,,,,
1452,6,0,0,,,,,
1453,3,2,0.666666667,,,,,
1454,2,0,0,,,,,
1455,1,0,0,,,,,
1456,3,2,0.666666667,,,,,
1457,5,2,0.4,,,,,
1458,11,5,0.454545455,,,,,
1459,5,2,0.4,,,,,
1460,4,0,0,,,,,
1461,6,3,0.5,,,,,
1462,4,0,0,,,,,
1463,4,3,0.75,,,,,
1464,6,3,0.5,,,,,
1465,4,1,0.25,,,,,
1466,5,2,0.4,,,,,
1467,4,1,0.25,,,,,
1468,6,3,0.5,,,,,
1469,4,1,0.25,,,,,
1470,2,0,0,,,,,
1471,7,1,0.142857143,,,,,
1472,4,1,0.25,,,,,
1473,3,0,0,,,,,
1474,5,1,0.2,,,,,
1475,0,0,.,,,,,
1476,8,2,0.25,,,,,
1477,4,0,0,,,,,
1478,6,2,0.333333333,,,,,
1479,7,4,0.571428571,,,,,
1481,4,4,1,,,,,
1482,4,0,0,,,,,
1483,8,3,0.375,,,,,
1484,8,1,0.125,,,,,
1485,4,0,0,,,,,
1486,6,3,0.5,,,,,
1487,6,1,0.166666667,,,,,
1488,1,0,0,,,,,
1489,8,1,0.125,,,,,
1490,4,1,0.25,,,,,
1491,6,4,0.666666667,,,,,
1492,6,5,0.833333333,,,,,
1493,2,1,0.5,,,,,
1494,0,0,.,,,,,
1495,7,3,0.428571429,,,,,
1496,3,1,0.333333333,,,,,
1497,7,0,0,,,,,
1498,3,0,0,,,,,
1499,2,0,0,,,,,
1500,8,2,0.25,,,,,
1501,4,0,0,,,,,
1502,2,1,0.5,,,,,
1503,4,0,0,,,,,
1504,6,3,0.5,,,,,
1505,5,2,0.4,,,,,
1506,2,0,0,,,,,
1507,5,3,0.6,,,,,
1508,6,1,0.166666667,,,,,
1509,2,0,0,,,,,
1510,7,2,0.285714286,,,,,
1511,7,1,0.142857143,,,,,
1512,10,3,0.3,,,,,
1513,4,2,0.5,,,,,
1514,7,2,0.285714286,,,,,
1515,5,1,0.2,,,,,
1516,3,1,0.333333333,,,,,
1517,3,0,0,,,,,
1518,5,1,0.2,,,,,
1519,1,0,0,,,,,
1520,5,0,0,,,,,
1521,5,2,0.4,,,,,
1522,4,2,0.5,,,,,
1523,1,0,0,,,,,
1524,4,0,0,,,,,
1525,3,0,0,,,,,
1526,13,4,0.307692308,,,,,
1527,4,2,0.5,,,,,
1528,4,1,0.25,,,,,
1529,4,1,0.25,,,,,
1530,4,2,0.5,,,,,
1531,7,2,0.285714286,,,,,
1532,8,4,0.5,,,,,
1533,5,1,0.2,,,,,
1534,5,3,0.6,,,,,
1535,7,3,0.428571429,,,,,
1536,7,1,0.142857143,,,,,
1537,10,2,0.2,,,,,
1538,9,2,0.222222222,,,,,
1539,11,3,0.272727273,,,,,
1540,3,0,0,,,,,
1541,5,1,0.2,,,,,
1542,2,1,0.5,,,,,
1543,7,1,0.142857143,,,,,
1544,6,2,0.333333333,,,,,
1545,7,2,0.285714286,,,,,
1546,3,1,0.333333333,,,,,
1547,6,3,0.5,,,,,
1548,8,2,0.25,,,,,
1549,8,3,0.375,,,,,
1550,5,1,0.2,,,,,
1551,4,1,0.25,,,,,
1552,6,2,0.333333333,,,,,
1553,9,2,0.222222222,,,,,
1554,5,0,0,,,,,
1555,3,1,0.333333333,,,,,
1556,5,2,0.4,,,,,
1557,4,2,0.5,,,,,
1558,5,3,0.6,,,,,
1559,8,1,0.125,,,,,
1560,5,1,0.2,,,,,
1561,4,2,0.5,,,,,
1562,2,1,0.5,,,,,
1563,4,0,0,,,,,
1564,5,2,0.4,,,,,
1565,2,1,0.5,,,,,
1566,3,0,0,,,,,
1567,5,1,0.2,,,,,
1568,6,1,0.166666667,,,,,
1569,4,3,0.75,,,,,
1570,3,0,0,,,,,
1571,1,0,0,,,,,
1572,2,1,0.5,,,,,
1573,2,1,0.5,,,,,
1574,4,4,1,,,,,
1575,4,1,0.25,,,,,
1576,1,0,0,,,,,
1577,3,2,0.666666667,,,,,
1578,2,1,0.5,,,,,
1579,4,1,0.25,,,,,
1580,4,2,0.5,,,,,
1581,4,2,0.5,,,,,
1582,6,4,0.666666667,,,,,
1583,4,1,0.25,,,,,
1584,4,0,0,,,,,
1585,3,0,0,,,,,
1586,5,2,0.4,,,,,
1588,2,0,0,,,,,
1589,5,1,0.2,,,,,
1590,4,1,0.25,,,,,
1591,3,0,0,,,,,
1592,5,1,0.2,,,,,
1593,5,0,0,,,,,
1594,6,1,0.166666667,,,,,
1595,1,1,1,,,,,
1596,6,1,0.166666667,,,,,
1597,6,1,0.166666667,,,,,
1598,5,1,0.2,,,,,
1599,3,2,0.666666667,,,,,
1600,3,1,0.333333333,,,,,
1601,2,1,0.5,,,,,
1602,1,0,0,,,,,
1603,2,0,0,,,,,
1604,1,0,0,,,,,
1605,4,0,0,,,,,
1606,1,0,0,,,,,
1607,1,1,1,,,,,
1608,4,1,0.25,,,,,
1609,1,1,1,,,,,
1610,4,2,0.5,,,,,
1611,5,0,0,,,,,
1612,4,1,0.25,,,,,
1613,3,1,0.333333333,,,,,
1614,2,0,0,,,,,
1615,6,3,0.5,,,,,
1616,1,0,0,,,,,
1617,2,0,0,,,,,
1618,3,0,0,,,,,
1619,3,0,0,,,,,
1620,6,0,0,,,,,
1621,1,0,0,,,,,
1622,2,0,0,,,,,
1623,5,0,0,,,,,
1624,1,0,0,,,,,
1625,4,1,0.25,,,,,
1626,0,0,.,,,,,
1627,4,1,0.25,,,,,
1628,9,2,0.222222222,,,,,
1629,2,1,0.5,,,,,
1630,2,1,0.5,,,,,
1631,7,1,0.142857143,,,,,
1632,3,1,0.333333333,,,,,
1633,1,1,1,,,,,
1634,5,1,0.2,,,,,
1635,6,6,1,,,,,
1636,6,3,0.5,,,,,
1637,1,1,1,,,,,
1638,3,2,0.666666667,,,,,
1639,3,0,0,,,,,
1640,3,1,0.333333333,,,,,
1641,7,5,0.714285714,,,,,
1642,2,1,0.5,,,,,
1643,4,0,0,,,,,
1644,2,1,0.5,,,,,
1645,0,0,.,,,,,
1646,3,0,0,,,,,
1647,0,0,.,,,,,
1648,3,0,0,,,,,
1649,4,0,0,,,,,
1650,5,0,0,,,,,
1651,4,2,0.5,,,,,
1652,2,1,0.5,,,,,
1653,3,3,1,,,,,
1654,2,0,0,,,,,
1655,1,0,0,,,,,
1656,4,1,0.25,,,,,
1657,1,0,0,,,,,
1658,6,4,0.666666667,,,,,
1659,1,0,0,,,,,
1660,3,1,0.333333333,,,,,
1661,4,1,0.25,,,,,
1662,6,5,0.833333333,,,,,
1663,0,0,.,,,,,
1664,5,3,0.6,,,,,
1665,1,1,1,,,,,
1666,3,0,0,,,,,
1667,6,0,0,,,,,
1668,3,0,0,,,,,
1669,1,0,0,,,,,
1671,4,3,0.75,,,,,
1672,1,0,0,,,,,
1673,5,0,0,,,,,
1674,3,2,0.666666667,,,,,
1675,2,0,0,,,,,
1676,4,2,0.5,,,,,
1677,6,2,0.333333333,,,,,
1678,3,1,0.333333333,,,,,
1679,1,1,1,,,,,
1680,3,2,0.666666667,,,,,
1681,0,0,.,,,,,
1682,3,2,0.666666667,,,,,
1683,6,1,0.166666667,,,,,
1684,5,2,0.4,,,,,
1685,1,0,0,,,,,
1687,0,0,.,,,,,
1688,3,2,0.666666667,,,,,
1689,5,2,0.4,,,,,
1690,7,0,0,,,,,
1691,2,2,1,,,,,
1692,2,1,0.5,,,,,
,7776,2025,0.27763809,,,,,
