Definition: ,Percentage of women with a live birth or a stillbirth in the last 2 years who took iron tablets or syrup during their most recent pregnancy.,,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey ,,,,,,,
,,,,,,,,
Average,0.710867403,,National weighted average,,71.9,,DHS report,70.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
v001,birthsw,ironsuppl,,,,,,
908,5,5,1,,,,,
909,1,3,3,,,,,
910,7,4,0.571428571,,,,,
911,5,4,0.8,,,,,
912,9,5,0.555555556,,,,,
913,2,0,0,,,,,
914,7,2,0.285714286,,,,,
915,7,2,0.285714286,,,,,
916,5,4,0.8,,,,,
917,7,5,0.714285714,,,,,
918,8,5,0.625,,,,,
919,11,7,0.636363636,,,,,
920,9,2,0.222222222,,,,,
921,5,5,1,,,,,
922,8,5,0.625,,,,,
923,7,7,1,,,,,
924,10,7,0.7,,,,,
925,8,3,0.375,,,,,
926,9,3,0.333333333,,,,,
927,7,5,0.714285714,,,,,
928,4,5,1.25,,,,,
929,5,5,1,,,,,
930,7,6,0.857142857,,,,,
931,10,4,0.4,,,,,
932,3,4,1.333333333,,,,,
933,8,4,0.5,,,,,
934,5,2,0.4,,,,,
935,6,5,0.833333333,,,,,
936,5,3,0.6,,,,,
937,11,7,0.636363636,,,,,
938,6,3,0.5,,,,,
939,6,3,0.5,,,,,
940,3,3,1,,,,,
941,2,1,0.5,,,,,
942,5,5,1,,,,,
943,4,4,1,,,,,
944,4,2,0.5,,,,,
945,5,5,1,,,,,
946,7,7,1,,,,,
947,3,3,1,,,,,
948,6,7,1.166666667,,,,,
949,4,4,1,,,,,
950,6,4,0.666666667,,,,,
951,1,3,3,,,,,
952,6,5,0.833333333,,,,,
953,5,6,1.2,,,,,
954,5,3,0.6,,,,,
955,7,5,0.714285714,,,,,
956,6,6,1,,,,,
957,5,6,1.2,,,,,
958,2,4,2,,,,,
959,3,5,1.666666667,,,,,
960,4,5,1.25,,,,,
961,2,3,1.5,,,,,
962,10,8,0.8,,,,,
963,8,3,0.375,,,,,
964,4,1,0.25,,,,,
965,3,3,1,,,,,
966,4,1,0.25,,,,,
967,6,6,1,,,,,
968,3,4,1.333333333,,,,,
969,3,3,1,,,,,
970,7,4,0.571428571,,,,,
971,5,4,0.8,,,,,
972,6,1,0.166666667,,,,,
973,6,5,0.833333333,,,,,
974,4,4,1,,,,,
975,10,4,0.4,,,,,
976,3,1,0.333333333,,,,,
977,7,3,0.428571429,,,,,
978,1,3,3,,,,,
979,3,4,1.333333333,,,,,
980,4,3,0.75,,,,,
981,2,4,2,,,,,
982,4,6,1.5,,,,,
983,0,2,.,,,,,
984,8,4,0.5,,,,,
985,3,5,1.666666667,,,,,
986,9,6,0.666666667,,,,,
987,2,4,2,,,,,
988,2,1,0.5,,,,,
989,4,4,1,,,,,
990,6,5,0.833333333,,,,,
991,4,6,1.5,,,,,
992,3,4,1.333333333,,,,,
993,6,4,0.666666667,,,,,
994,3,3,1,,,,,
995,3,3,1,,,,,
996,4,4,1,,,,,
997,4,3,0.75,,,,,
998,6,2,0.333333333,,,,,
999,2,4,2,,,,,
1000,7,6,0.857142857,,,,,
1001,2,2,1,,,,,
1002,9,8,0.888888889,,,,,
1003,5,5,1,,,,,
1004,3,3,1,,,,,
1005,3,3,1,,,,,
1006,6,4,0.666666667,,,,,
1007,0,1,.,,,,,
1008,2,3,1.5,,,,,
1009,5,4,0.8,,,,,
1010,8,2,0.25,,,,,
1011,6,4,0.666666667,,,,,
1012,10,5,0.5,,,,,
1013,12,8,0.666666667,,,,,
1014,10,4,0.4,,,,,
1015,5,3,0.6,,,,,
1016,3,1,0.333333333,,,,,
1017,8,1,0.125,,,,,
1018,3,5,1.666666667,,,,,
1019,5,4,0.8,,,,,
1020,10,3,0.3,,,,,
1021,1,3,3,,,,,
1022,6,4,0.666666667,,,,,
1023,9,3,0.333333333,,,,,
1024,7,6,0.857142857,,,,,
1025,8,3,0.375,,,,,
1026,4,1,0.25,,,,,
1027,9,5,0.555555556,,,,,
1028,5,2,0.4,,,,,
1029,7,3,0.428571429,,,,,
1030,7,1,0.142857143,,,,,
1031,3,5,1.666666667,,,,,
1032,11,4,0.363636364,,,,,
1034,10,7,0.7,,,,,
1035,10,4,0.4,,,,,
1036,3,2,0.666666667,,,,,
1037,11,9,0.818181818,,,,,
1038,6,3,0.5,,,,,
1039,5,6,1.2,,,,,
1040,5,2,0.4,,,,,
1041,8,3,0.375,,,,,
1042,4,1,0.25,,,,,
1043,5,6,1.2,,,,,
1044,11,9,0.818181818,,,,,
1045,2,2,1,,,,,
1046,6,1,0.166666667,,,,,
1047,4,2,0.5,,,,,
1048,6,5,0.833333333,,,,,
1049,9,6,0.666666667,,,,,
1050,8,6,0.75,,,,,
1051,13,3,0.230769231,,,,,
1052,9,5,0.555555556,,,,,
1053,8,0,0,,,,,
1054,8,3,0.375,,,,,
1055,8,6,0.75,,,,,
1056,9,0,0,,,,,
1058,11,7,0.636363636,,,,,
1059,13,8,0.615384615,,,,,
1060,11,5,0.454545455,,,,,
1061,4,0,0,,,,,
1062,14,3,0.214285714,,,,,
1063,8,6,0.75,,,,,
1064,9,3,0.333333333,,,,,
1065,10,3,0.3,,,,,
1067,7,4,0.571428571,,,,,
1068,10,1,0.1,,,,,
1069,4,1,0.25,,,,,
1070,7,0,0,,,,,
1071,7,4,0.571428571,,,,,
1072,6,2,0.333333333,,,,,
1073,8,5,0.625,,,,,
1074,3,1,0.333333333,,,,,
1075,3,2,0.666666667,,,,,
1076,9,6,0.666666667,,,,,
1077,8,6,0.75,,,,,
1078,10,5,0.5,,,,,
1079,7,4,0.571428571,,,,,
1080,7,3,0.428571429,,,,,
1081,13,3,0.230769231,,,,,
1082,12,3,0.25,,,,,
1083,10,3,0.3,,,,,
1084,13,3,0.230769231,,,,,
1085,8,6,0.75,,,,,
1086,13,3,0.230769231,,,,,
1087,8,5,0.625,,,,,
1088,7,1,0.142857143,,,,,
1089,5,4,0.8,,,,,
1090,5,2,0.4,,,,,
1091,6,0,0,,,,,
1092,4,3,0.75,,,,,
1093,9,2,0.222222222,,,,,
1094,8,4,0.5,,,,,
1095,8,5,0.625,,,,,
1096,3,4,1.333333333,,,,,
1097,8,7,0.875,,,,,
1098,2,0,0,,,,,
1099,12,9,0.75,,,,,
1100,9,4,0.444444444,,,,,
1101,4,3,0.75,,,,,
1103,11,2,0.181818182,,,,,
1104,5,2,0.4,,,,,
1105,3,2,0.666666667,,,,,
1106,7,5,0.714285714,,,,,
1107,6,3,0.5,,,,,
1108,7,5,0.714285714,,,,,
1109,4,1,0.25,,,,,
1110,4,2,0.5,,,,,
1111,1,1,1,,,,,
1112,2,3,1.5,,,,,
1113,2,2,1,,,,,
1114,4,0,0,,,,,
1115,3,2,0.666666667,,,,,
1116,4,2,0.5,,,,,
1117,4,2,0.5,,,,,
1118,6,1,0.166666667,,,,,
1119,3,3,1,,,,,
1120,6,1,0.166666667,,,,,
1121,5,2,0.4,,,,,
1122,7,3,0.428571429,,,,,
1123,5,3,0.6,,,,,
1124,6,2,0.333333333,,,,,
1125,6,1,0.166666667,,,,,
1126,8,1,0.125,,,,,
1127,6,1,0.166666667,,,,,
1128,6,4,0.666666667,,,,,
1129,8,2,0.25,,,,,
1130,5,2,0.4,,,,,
1131,5,3,0.6,,,,,
1132,9,3,0.333333333,,,,,
1133,7,1,0.142857143,,,,,
1134,9,5,0.555555556,,,,,
1135,8,1,0.125,,,,,
1136,7,2,0.285714286,,,,,
1137,10,2,0.2,,,,,
1138,5,5,1,,,,,
1139,5,4,0.8,,,,,
1140,1,0,0,,,,,
1141,5,2,0.4,,,,,
1142,6,4,0.666666667,,,,,
1143,5,2,0.4,,,,,
1144,5,2,0.4,,,,,
1145,1,1,1,,,,,
1146,4,2,0.5,,,,,
1147,6,2,0.333333333,,,,,
1148,5,3,0.6,,,,,
1149,9,4,0.444444444,,,,,
1150,4,3,0.75,,,,,
1151,11,6,0.545454545,,,,,
1152,2,2,1,,,,,
1153,10,0,0,,,,,
1154,6,1,0.166666667,,,,,
1155,14,4,0.285714286,,,,,
1156,4,1,0.25,,,,,
1157,11,4,0.363636364,,,,,
1158,4,3,0.75,,,,,
1159,10,6,0.6,,,,,
1160,6,2,0.333333333,,,,,
1161,4,2,0.5,,,,,
1162,4,4,1,,,,,
1163,4,3,0.75,,,,,
1164,4,1,0.25,,,,,
1165,1,0,0,,,,,
1166,7,6,0.857142857,,,,,
1167,10,1,0.1,,,,,
1168,5,2,0.4,,,,,
1169,7,2,0.285714286,,,,,
1170,4,1,0.25,,,,,
1171,9,4,0.444444444,,,,,
1172,6,3,0.5,,,,,
1173,4,1,0.25,,,,,
1174,6,4,0.666666667,,,,,
1175,6,6,1,,,,,
1176,5,5,1,,,,,
1177,6,6,1,,,,,
1178,4,3,0.75,,,,,
1179,7,4,0.571428571,,,,,
1180,2,3,1.5,,,,,
1181,3,4,1.333333333,,,,,
1182,6,2,0.333333333,,,,,
1183,4,4,1,,,,,
1184,4,0,0,,,,,
1185,4,1,0.25,,,,,
1186,1,1,1,,,,,
1187,5,3,0.6,,,,,
1188,4,7,1.75,,,,,
1189,7,3,0.428571429,,,,,
1190,5,3,0.6,,,,,
1191,2,3,1.5,,,,,
1192,2,1,0.5,,,,,
1193,2,2,1,,,,,
1194,5,4,0.8,,,,,
1195,9,5,0.555555556,,,,,
1196,8,4,0.5,,,,,
1197,6,4,0.666666667,,,,,
1198,5,3,0.6,,,,,
1199,7,2,0.285714286,,,,,
1200,5,2,0.4,,,,,
1201,5,2,0.4,,,,,
1202,1,1,1,,,,,
1203,4,5,1.25,,,,,
1204,4,2,0.5,,,,,
1205,4,4,1,,,,,
1206,6,2,0.333333333,,,,,
1207,1,0,0,,,,,
1208,7,0,0,,,,,
1209,4,0,0,,,,,
1210,5,1,0.2,,,,,
1212,8,2,0.25,,,,,
1213,11,4,0.363636364,,,,,
1214,7,2,0.285714286,,,,,
1215,6,2,0.333333333,,,,,
1216,3,0,0,,,,,
1217,3,5,1.666666667,,,,,
1218,5,2,0.4,,,,,
1219,4,0,0,,,,,
1220,4,1,0.25,,,,,
1221,5,3,0.6,,,,,
1222,7,2,0.285714286,,,,,
1223,5,0,0,,,,,
1224,4,2,0.5,,,,,
1225,3,2,0.666666667,,,,,
1226,4,3,0.75,,,,,
1227,4,3,0.75,,,,,
1228,2,2,1,,,,,
1229,11,0,0,,,,,
1230,4,1,0.25,,,,,
1231,8,2,0.25,,,,,
1232,5,1,0.2,,,,,
1233,7,3,0.428571429,,,,,
1234,5,3,0.6,,,,,
1235,7,2,0.285714286,,,,,
1236,2,0,0,,,,,
1237,8,1,0.125,,,,,
1238,6,4,0.666666667,,,,,
1239,7,6,0.857142857,,,,,
1240,5,2,0.4,,,,,
1241,7,3,0.428571429,,,,,
1242,9,2,0.222222222,,,,,
1243,6,3,0.5,,,,,
1244,1,0,0,,,,,
1245,8,3,0.375,,,,,
1246,7,5,0.714285714,,,,,
1247,2,2,1,,,,,
1248,7,6,0.857142857,,,,,
1249,4,3,0.75,,,,,
1250,5,3,0.6,,,,,
1251,4,3,0.75,,,,,
1252,3,3,1,,,,,
1253,6,1,0.166666667,,,,,
1254,9,4,0.444444444,,,,,
1255,5,2,0.4,,,,,
1256,4,4,1,,,,,
1257,1,1,1,,,,,
1258,4,4,1,,,,,
1259,10,6,0.6,,,,,
1260,4,4,1,,,,,
1261,7,6,0.857142857,,,,,
1262,5,4,0.8,,,,,
1263,8,7,0.875,,,,,
1264,3,2,0.666666667,,,,,
1265,7,3,0.428571429,,,,,
1266,5,3,0.6,,,,,
1267,4,1,0.25,,,,,
1268,9,5,0.555555556,,,,,
1269,10,4,0.4,,,,,
1270,7,3,0.428571429,,,,,
1272,8,3,0.375,,,,,
1273,3,5,1.666666667,,,,,
1274,3,2,0.666666667,,,,,
1275,3,5,1.666666667,,,,,
1276,5,4,0.8,,,,,
1277,4,4,1,,,,,
1278,3,4,1.333333333,,,,,
1279,3,1,0.333333333,,,,,
1280,12,8,0.666666667,,,,,
1281,3,2,0.666666667,,,,,
1282,2,4,2,,,,,
1283,5,6,1.2,,,,,
1284,6,4,0.666666667,,,,,
1285,6,1,0.166666667,,,,,
1286,4,5,1.25,,,,,
1287,2,1,0.5,,,,,
1288,0,1,.,,,,,
1289,2,1,0.5,,,,,
1290,3,6,2,,,,,
1291,4,3,0.75,,,,,
1292,15,6,0.4,,,,,
1293,3,2,0.666666667,,,,,
1294,4,3,0.75,,,,,
1295,4,2,0.5,,,,,
1296,6,4,0.666666667,,,,,
1297,12,5,0.416666667,,,,,
1298,4,3,0.75,,,,,
1299,3,1,0.333333333,,,,,
1300,6,8,1.333333333,,,,,
1301,5,5,1,,,,,
1302,7,5,0.714285714,,,,,
1303,4,3,0.75,,,,,
1304,4,4,1,,,,,
1305,3,2,0.666666667,,,,,
1306,2,5,2.5,,,,,
1307,5,4,0.8,,,,,
1308,3,3,1,,,,,
1309,5,6,1.2,,,,,
1310,4,1,0.25,,,,,
1311,3,4,1.333333333,,,,,
1312,1,1,1,,,,,
1313,5,2,0.4,,,,,
1314,5,1,0.2,,,,,
1315,7,7,1,,,,,
1316,3,3,1,,,,,
1317,6,1,0.166666667,,,,,
1318,2,1,0.5,,,,,
1319,5,2,0.4,,,,,
1320,3,3,1,,,,,
1321,3,5,1.666666667,,,,,
1322,3,1,0.333333333,,,,,
1323,4,1,0.25,,,,,
1324,12,5,0.416666667,,,,,
1325,4,3,0.75,,,,,
1326,1,3,3,,,,,
1327,2,0,0,,,,,
1328,1,0,0,,,,,
1329,5,2,0.4,,,,,
1330,7,4,0.571428571,,,,,
1331,7,1,0.142857143,,,,,
1332,9,3,0.333333333,,,,,
1333,8,2,0.25,,,,,
1334,8,8,1,,,,,
1335,8,2,0.25,,,,,
1336,5,0,0,,,,,
1337,6,3,0.5,,,,,
1338,3,1,0.333333333,,,,,
1339,11,5,0.454545455,,,,,
1340,7,6,0.857142857,,,,,
1341,9,4,0.444444444,,,,,
1342,4,3,0.75,,,,,
1343,2,5,2.5,,,,,
1344,1,2,2,,,,,
1345,5,5,1,,,,,
1346,5,1,0.2,,,,,
1347,3,2,0.666666667,,,,,
1348,13,2,0.153846154,,,,,
1349,9,2,0.222222222,,,,,
1350,7,5,0.714285714,,,,,
1351,3,1,0.333333333,,,,,
1352,10,2,0.2,,,,,
1353,12,1,0.083333333,,,,,
1354,7,1,0.142857143,,,,,
1355,8,3,0.375,,,,,
1356,9,3,0.333333333,,,,,
1357,8,6,0.75,,,,,
1358,5,3,0.6,,,,,
1359,4,4,1,,,,,
1360,13,5,0.384615385,,,,,
1361,10,3,0.3,,,,,
1362,12,6,0.5,,,,,
1363,9,1,0.111111111,,,,,
1364,11,7,0.636363636,,,,,
1365,9,6,0.666666667,,,,,
1366,11,4,0.363636364,,,,,
1367,5,2,0.4,,,,,
1368,1,1,1,,,,,
1369,5,5,1,,,,,
1370,7,2,0.285714286,,,,,
1371,9,3,0.333333333,,,,,
1372,13,2,0.153846154,,,,,
1373,7,3,0.428571429,,,,,
1374,14,2,0.142857143,,,,,
1375,9,8,0.888888889,,,,,
1376,8,5,0.625,,,,,
1377,8,3,0.375,,,,,
1378,12,6,0.5,,,,,
1379,3,1,0.333333333,,,,,
1380,2,2,1,,,,,
1381,6,3,0.5,,,,,
1382,14,3,0.214285714,,,,,
1383,13,3,0.230769231,,,,,
1384,9,3,0.333333333,,,,,
1385,1,1,1,,,,,
1386,8,2,0.25,,,,,
1387,8,4,0.5,,,,,
1388,12,3,0.25,,,,,
1389,3,3,1,,,,,
1390,2,3,1.5,,,,,
1391,4,3,0.75,,,,,
1392,4,4,1,,,,,
1393,2,2,1,,,,,
1394,10,5,0.5,,,,,
1395,11,2,0.181818182,,,,,
1396,6,3,0.5,,,,,
1397,1,1,1,,,,,
1398,3,1,0.333333333,,,,,
1399,4,3,0.75,,,,,
1400,5,5,1,,,,,
1401,3,4,1.333333333,,,,,
1402,8,5,0.625,,,,,
1403,3,2,0.666666667,,,,,
1404,4,1,0.25,,,,,
1405,2,0,0,,,,,
1406,2,3,1.5,,,,,
1407,5,6,1.2,,,,,
1408,5,3,0.6,,,,,
1409,4,4,1,,,,,
1410,4,3,0.75,,,,,
1411,7,4,0.571428571,,,,,
1412,5,4,0.8,,,,,
1413,3,1,0.333333333,,,,,
1414,5,2,0.4,,,,,
1415,7,4,0.571428571,,,,,
1416,3,2,0.666666667,,,,,
1417,3,6,2,,,,,
1418,3,3,1,,,,,
1419,5,2,0.4,,,,,
1420,4,2,0.5,,,,,
1421,6,4,0.666666667,,,,,
1422,4,3,0.75,,,,,
1423,7,4,0.571428571,,,,,
1424,4,4,1,,,,,
1425,8,4,0.5,,,,,
1426,1,1,1,,,,,
1427,9,5,0.555555556,,,,,
1428,7,3,0.428571429,,,,,
1429,4,4,1,,,,,
1430,7,4,0.571428571,,,,,
1431,7,1,0.142857143,,,,,
1432,3,2,0.666666667,,,,,
1433,12,4,0.333333333,,,,,
1434,4,1,0.25,,,,,
1435,4,1,0.25,,,,,
1436,3,5,1.666666667,,,,,
1437,3,4,1.333333333,,,,,
1438,10,3,0.3,,,,,
1439,4,0,0,,,,,
1440,9,5,0.555555556,,,,,
1441,2,3,1.5,,,,,
1442,6,3,0.5,,,,,
1443,7,3,0.428571429,,,,,
1444,3,2,0.666666667,,,,,
1445,7,4,0.571428571,,,,,
1446,1,0,0,,,,,
1447,7,5,0.714285714,,,,,
1448,7,4,0.571428571,,,,,
1449,4,3,0.75,,,,,
1450,7,3,0.428571429,,,,,
1451,1,1,1,,,,,
1452,1,3,3,,,,,
1453,5,1,0.2,,,,,
1454,5,2,0.4,,,,,
1455,6,6,1,,,,,
1456,13,5,0.384615385,,,,,
1457,5,4,0.8,,,,,
1458,5,3,0.6,,,,,
1459,4,2,0.5,,,,,
1460,3,3,1,,,,,
1461,12,4,0.333333333,,,,,
1462,3,3,1,,,,,
1463,5,4,0.8,,,,,
1464,5,1,0.2,,,,,
1465,9,7,0.777777778,,,,,
1466,10,1,0.1,,,,,
1467,6,2,0.333333333,,,,,
1468,12,1,0.083333333,,,,,
1469,9,5,0.555555556,,,,,
1470,7,4,0.571428571,,,,,
1471,3,3,1,,,,,
1472,8,2,0.25,,,,,
1473,7,4,0.571428571,,,,,
1474,5,1,0.2,,,,,
1475,5,1,0.2,,,,,
1476,3,0,0,,,,,
1477,5,4,0.8,,,,,
1478,3,0,0,,,,,
1479,6,6,1,,,,,
1480,5,2,0.4,,,,,
1481,3,2,0.666666667,,,,,
1482,1,3,3,,,,,
1483,4,2,0.5,,,,,
1484,6,6,1,,,,,
1485,9,6,0.666666667,,,,,
1486,4,4,1,,,,,
1487,3,2,0.666666667,,,,,
1488,8,3,0.375,,,,,
1489,3,2,0.666666667,,,,,
1490,6,1,0.166666667,,,,,
1491,5,3,0.6,,,,,
1492,3,3,1,,,,,
1493,5,3,0.6,,,,,
1494,3,4,1.333333333,,,,,
1495,4,2,0.5,,,,,
1496,4,3,0.75,,,,,
1497,5,1,0.2,,,,,
1498,4,4,1,,,,,
1499,6,1,0.166666667,,,,,
1500,4,3,0.75,,,,,
1501,4,1,0.25,,,,,
1502,4,3,0.75,,,,,
1503,5,2,0.4,,,,,
1504,2,1,0.5,,,,,
1505,7,5,0.714285714,,,,,
1506,8,4,0.5,,,,,
1507,6,2,0.333333333,,,,,
1508,7,2,0.285714286,,,,,
1509,4,2,0.5,,,,,
1510,3,3,1,,,,,
1511,1,3,3,,,,,
1512,1,2,2,,,,,
1513,6,8,1.333333333,,,,,
1514,3,4,1.333333333,,,,,
1515,3,1,0.333333333,,,,,
1516,1,1,1,,,,,
1517,5,1,0.2,,,,,
1518,2,3,1.5,,,,,
1519,6,2,0.333333333,,,,,
1520,3,3,1,,,,,
1521,4,1,0.25,,,,,
1522,6,2,0.333333333,,,,,
1523,6,3,0.5,,,,,
1524,8,4,0.5,,,,,
1525,4,3,0.75,,,,,
1526,3,2,0.666666667,,,,,
1527,5,2,0.4,,,,,
1528,3,2,0.666666667,,,,,
1529,4,3,0.75,,,,,
1530,2,0,0,,,,,
1531,5,3,0.6,,,,,
1532,7,4,0.571428571,,,,,
1533,7,2,0.285714286,,,,,
1534,5,0,0,,,,,
1535,4,1,0.25,,,,,
1536,4,4,1,,,,,
1537,7,5,0.714285714,,,,,
1538,7,2,0.285714286,,,,,
1539,2,0,0,,,,,
1540,5,4,0.8,,,,,
1541,11,5,0.454545455,,,,,
1542,5,2,0.4,,,,,
1543,4,4,1,,,,,
1544,3,4,1.333333333,,,,,
1545,7,3,0.428571429,,,,,
1546,4,4,1,,,,,
1547,10,0,0,,,,,
1548,5,2,0.4,,,,,
1549,9,3,0.333333333,,,,,
1550,8,4,0.5,,,,,
1551,9,7,0.777777778,,,,,
1552,3,3,1,,,,,
1553,10,5,0.5,,,,,
1554,7,4,0.571428571,,,,,
1555,8,5,0.625,,,,,
1556,4,0,0,,,,,
1557,11,1,0.090909091,,,,,
1558,1,2,2,,,,,
1559,6,3,0.5,,,,,
1560,5,4,0.8,,,,,
1561,2,3,1.5,,,,,
1562,8,4,0.5,,,,,
1563,7,4,0.571428571,,,,,
1564,6,2,0.333333333,,,,,
1565,6,5,0.833333333,,,,,
1566,2,2,1,,,,,
1567,5,3,0.6,,,,,
1568,12,9,0.75,,,,,
1569,8,6,0.75,,,,,
1570,2,2,1,,,,,
1571,7,4,0.571428571,,,,,
1572,13,5,0.384615385,,,,,
1573,10,5,0.5,,,,,
1574,4,3,0.75,,,,,
1575,8,4,0.5,,,,,
1576,5,4,0.8,,,,,
1577,5,2,0.4,,,,,
1578,6,4,0.666666667,,,,,
1579,5,3,0.6,,,,,
1580,4,0,0,,,,,
1581,3,1,0.333333333,,,,,
1582,9,6,0.666666667,,,,,
1583,7,5,0.714285714,,,,,
1584,4,5,1.25,,,,,
1585,5,2,0.4,,,,,
1586,6,4,0.666666667,,,,,
1587,5,5,1,,,,,
1588,7,4,0.571428571,,,,,
1589,9,1,0.111111111,,,,,
1590,5,2,0.4,,,,,
1591,12,7,0.583333333,,,,,
1592,2,1,0.5,,,,,
1593,6,3,0.5,,,,,
1594,8,2,0.25,,,,,
1595,7,1,0.142857143,,,,,
1596,6,5,0.833333333,,,,,
1597,3,1,0.333333333,,,,,
1598,4,4,1,,,,,
1599,7,2,0.285714286,,,,,
1600,4,4,1,,,,,
1601,4,1,0.25,,,,,
1602,7,6,0.857142857,,,,,
1603,2,2,1,,,,,
1604,7,6,0.857142857,,,,,
1605,7,3,0.428571429,,,,,
1606,3,2,0.666666667,,,,,
1607,9,4,0.444444444,,,,,
1608,7,2,0.285714286,,,,,
1609,4,4,1,,,,,
1610,9,4,0.444444444,,,,,
1611,8,0,0,,,,,
1612,5,2,0.4,,,,,
,8191,4804,0.710867403,,,,,
