Cluster,allteenagers,teenagepregnancy,
1495,5,0,0
1496,3,1,0.333333333
1497,7,4,0.571428571
1498,2,1,0.5
1499,3,0,0
1500,8,2,0.25
1501,8,0,0
1502,4,0,0
1503,7,1,0.142857143
1504,7,2,0.285714286
1505,3,1,0.333333333
1506,4,0,0
1507,4,1,0.25
1508,8,4,0.5
1509,5,0,0
1510,5,1,0.2
1511,7,0,0
1512,6,4,0.666666667
1513,2,0,0
1514,3,0,0
1515,1,0,0
1516,4,0,0
1517,1,1,1
1518,0,0,.
1519,14,0,0
1520,4,0,0
1521,8,3,0.375
1522,4,0,0
1523,2,0,0
1524,2,0,0
1525,2,1,0.5
1526,10,5,0.5
1527,4,0,0
1528,3,0,0
1529,13,1,0.076923077
1530,0,0,.
1531,10,3,0.3
1532,5,1,0.2
1533,4,1,0.25
1534,2,0,0
1535,7,2,0.285714286
1536,8,5,0.625
1537,11,3,0.272727273
1538,10,1,0.1
1539,9,1,0.111111111
1540,4,0,0
1541,6,2,0.333333333
1542,2,0,0
1543,6,1,0.166666667
1544,3,1,0.333333333
1545,9,3,0.333333333
1546,8,2,0.25
1547,4,2,0.5
1548,1,0,0
1549,13,3,0.230769231
1550,1,1,1
1551,1,0,0
1552,9,0,0
1553,0,0,.
1554,4,2,0.5
1555,4,1,0.25
1556,3,1,0.333333333
1557,1,1,1
1558,6,3,0.5
1559,4,0,0
1560,2,0,0
1561,2,0,0
1562,1,0,0
1563,2,1,0.5
1564,4,1,0.25
1565,1,0,0
1566,5,0,0
1567,5,2,0.4
1568,4,1,0.25
1569,4,0,0
1570,1,0,0
1571,5,1,0.2
1572,4,0,0
1573,4,0,0
1574,6,0,0
1575,10,1,0.1
1576,6,1,0.166666667
1577,8,0,0
1578,2,0,0
1579,3,2,0.666666667
1580,2,0,0
1581,1,0,0
1582,8,1,0.125
1583,3,0,0
1584,2,1,0.5
1585,4,0,0
1586,1,0,0
1587,1,0,0
1588,9,1,0.111111111
1589,3,1,0.333333333
1590,7,2,0.285714286
1591,0,0,.
1592,2,0,0
1593,5,0,0
1594,6,1,0.166666667
1595,4,0,0
1596,13,1,0.076923077
1597,3,1,0.333333333
1598,4,1,0.25
1599,3,1,0.333333333
1600,4,0,0
1601,1,0,0
1602,6,2,0.333333333
1603,2,1,0.5
1604,6,0,0
1605,2,1,0.5
1606,4,0,0
1607,2,0,0
1608,5,1,0.2
1609,3,0,0
1610,10,1,0.1
1611,3,2,0.666666667
1612,3,0,0
1613,4,1,0.25
1614,4,1,0.25
1615,2,0,0
1616,1,0,0
1617,6,1,0.166666667
1618,3,0,0
1619,5,0,0
1620,8,1,0.125
1621,7,0,0
1622,6,1,0.166666667
1623,5,0,0
1624,1,0,0
1625,8,3,0.375
1626,2,0,0
1627,5,2,0.4
1628,5,1,0.2
1629,5,1,0.2
1630,4,1,0.25
1631,3,3,1
1632,5,1,0.2
1633,4,0,0
1634,3,1,0.333333333
1635,1,0,0
1636,2,1,0.5
1637,5,1,0.2
1638,0,0,.
1639,0,0,.
1640,1,0,0
1641,7,0,0
1642,1,1,1
1643,2,0,0
1644,1,0,0
1645,0,0,.
1646,3,0,0
1647,1,0,0
1648,1,1,1
1649,0,0,.
1650,3,0,0
1651,1,0,0
1652,1,0,0
1653,5,0,0
1654,2,0,0
1655,1,0,0
1656,2,1,0.5
1657,0,0,.
1658,1,0,0
1659,0,0,.
1660,1,0,0
1661,3,1,0.333333333
1662,2,0,0
1663,2,0,0
1664,2,0,0
1665,1,0,0
1666,1,0,0
1667,0,0,.
1668,2,0,0
1669,1,0,0
1670,0,0,.
1671,2,1,0.5
1672,0,0,.
1673,2,1,0.5
1674,3,0,0
1675,3,0,0
1676,0,0,.
1677,1,1,1
1678,1,0,0
1679,3,0,0
1680,2,0,0
1681,1,0,0
1682,2,1,0.5
1683,6,0,0
1684,4,0,0
1685,0,0,.
1686,4,0,0
1687,1,0,0
1688,1,0,0
1689,1,1,1
1690,1,0,0
1691,1,0,0
1692,1,0,0
,6404,981,0.154398913
