v001,currentlymarriedwomen,employedandmarried,
238,5,3,0.6
239,4,4,1
240,4,3,0.75
241,6,4,0.666666667
242,5,3,0.6
243,5,3,0.6
244,6,2,0.333333333
245,6,4,0.666666667
246,7,4,0.571428571
247,7,5,0.714285714
248,4,0,0
249,6,3,0.5
250,5,3,0.6
251,3,3,1
252,5,4,0.8
253,4,2,0.5
254,3,3,1
255,4,3,0.75
256,4,3,0.75
257,4,3,0.75
258,4,2,0.5
259,3,1,0.333333333
260,5,4,0.8
261,6,3,0.5
262,1,1,1
263,4,2,0.5
264,7,3,0.428571429
265,5,2,0.4
266,4,3,0.75
267,2,2,1
268,7,4,0.571428571
269,5,1,0.2
270,6,1,0.166666667
271,7,1,0.142857143
272,5,4,0.8
273,4,3,0.75
274,8,5,0.625
275,6,5,0.833333333
276,7,0,0
277,6,1,0.166666667
278,7,1,0.142857143
279,6,3,0.5
280,9,3,0.333333333
281,8,2,0.25
282,6,1,0.166666667
283,4,0,0
284,4,3,0.75
285,3,2,0.666666667
286,2,2,1
287,5,5,1
288,4,2,0.5
289,4,2,0.5
290,2,2,1
291,1,1,1
292,7,3,0.428571429
293,6,0,0
294,6,4,0.666666667
295,3,1,0.333333333
296,6,0,0
297,8,4,0.5
298,3,3,1
299,6,5,0.833333333
300,7,1,0.142857143
301,7,3,0.428571429
302,4,3,0.75
303,4,2,0.5
304,2,2,1
305,6,5,0.833333333
306,3,3,1
307,5,2,0.4
308,9,8,0.888888889
309,4,3,0.75
310,7,7,1
311,8,6,0.75
312,7,5,0.714285714
313,8,5,0.625
314,7,6,0.857142857
315,4,2,0.5
316,10,3,0.3
317,7,2,0.285714286
318,7,4,0.571428571
319,3,1,0.333333333
320,5,4,0.8
321,4,0,0
322,13,7,0.538461538
323,6,5,0.833333333
324,6,6,1
325,3,3,1
326,5,2,0.4
327,6,2,0.333333333
328,8,4,0.5
329,9,6,0.666666667
330,12,5,0.416666667
331,10,6,0.6
332,11,9,0.818181818
333,5,5,1
334,11,7,0.636363636
335,6,4,0.666666667
336,9,2,0.222222222
338,7,5,0.714285714
339,7,0,0
340,8,3,0.375
341,6,6,1
342,9,8,0.888888889
343,7,6,0.857142857
344,10,7,0.7
345,6,3,0.5
346,11,1,0.090909091
347,4,0,0
348,6,5,0.833333333
349,5,3,0.6
350,7,1,0.142857143
351,4,3,0.75
352,5,5,1
353,4,2,0.5
354,10,4,0.4
355,9,8,0.888888889
356,6,5,0.833333333
357,13,10,0.769230769
358,8,0,0
359,8,8,1
360,7,5,0.714285714
361,8,8,1
362,10,10,1
363,7,1,0.142857143
364,7,5,0.714285714
365,6,1,0.166666667
366,4,4,1
367,8,3,0.375
368,4,2,0.5
369,8,4,0.5
370,8,5,0.625
371,6,4,0.666666667
372,3,1,0.333333333
373,9,8,0.888888889
374,4,0,0
375,5,3,0.6
376,6,4,0.666666667
377,3,1,0.333333333
378,3,1,0.333333333
379,3,3,1
380,5,5,1
381,6,2,0.333333333
382,5,5,1
383,8,7,0.875
384,8,5,0.625
385,4,3,0.75
386,4,4,1
387,7,6,0.857142857
388,3,3,1
389,6,5,0.833333333
390,4,3,0.75
391,6,6,1
392,5,3,0.6
393,6,4,0.666666667
394,11,3,0.272727273
395,7,3,0.428571429
396,6,2,0.333333333
397,6,1,0.166666667
398,2,1,0.5
399,8,8,1
400,3,2,0.666666667
401,4,1,0.25
402,4,3,0.75
403,2,2,1
404,3,3,1
405,4,3,0.75
406,7,6,0.857142857
407,10,8,0.8
408,4,4,1
409,5,3,0.6
410,2,1,0.5
411,6,5,0.833333333
412,6,4,0.666666667
413,6,2,0.333333333
414,3,2,0.666666667
415,5,2,0.4
416,7,7,1
417,3,3,1
418,4,4,1
419,6,5,0.833333333
420,6,5,0.833333333
421,2,2,1
422,2,2,1
424,6,6,1
425,8,6,0.75
426,5,5,1
427,5,2,0.4
428,4,4,1
429,4,4,1
430,7,4,0.571428571
431,8,1,0.125
432,7,2,0.285714286
433,6,3,0.5
434,7,2,0.285714286
435,0,0,.
436,6,0,0
437,7,3,0.428571429
438,6,2,0.333333333
439,4,1,0.25
440,7,0,0
441,2,0,0
442,5,0,0
443,8,1,0.125
444,3,0,0
445,7,0,0
446,7,0,0
447,6,1,0.166666667
448,5,3,0.6
449,3,0,0
450,7,1,0.142857143
451,6,0,0
452,2,0,0
453,5,0,0
454,7,1,0.142857143
455,4,0,0
456,3,2,0.666666667
457,4,0,0
458,8,0,0
459,5,1,0.2
460,6,0,0
461,5,3,0.6
462,7,0,0
463,6,2,0.333333333
464,6,4,0.666666667
465,5,2,0.4
466,8,7,0.875
467,4,4,1
468,3,2,0.666666667
469,3,0,0
470,5,5,1
471,3,0,0
472,7,3,0.428571429
473,5,5,1
474,2,1,0.5
475,8,5,0.625
476,10,4,0.4
477,8,1,0.125
478,4,3,0.75
479,8,0,0
480,3,1,0.333333333
481,4,2,0.5
482,7,0,0
483,7,1,0.142857143
484,9,2,0.222222222
485,8,0,0
486,8,4,0.5
487,8,0,0
489,6,3,0.5
490,5,2,0.4
491,8,4,0.5
492,6,2,0.333333333
493,7,3,0.428571429
494,6,0,0
495,7,7,1
496,4,4,1
497,2,2,1
498,5,5,1
499,9,9,1
500,8,8,1
501,4,4,1
502,6,6,1
503,5,5,1
504,9,9,1
505,7,5,0.714285714
506,5,5,1
507,2,2,1
508,3,3,1
509,6,6,1
510,6,6,1
511,5,5,1
512,3,3,1
513,4,4,1
514,5,5,1
515,7,7,1
516,7,5,0.714285714
517,8,8,1
518,7,7,1
519,7,7,1
520,6,6,1
521,7,7,1
522,5,5,1
523,4,4,1
524,5,5,1
525,4,4,1
526,8,8,1
527,5,5,1
528,7,7,1
529,7,7,1
530,5,5,1
531,5,5,1
532,2,1,0.5
533,4,3,0.75
534,2,2,1
535,3,3,1
536,1,0,0
537,3,3,1
538,4,3,0.75
539,8,4,0.5
540,6,6,1
541,6,6,1
542,3,3,1
543,3,2,0.666666667
544,5,5,1
545,5,3,0.6
546,4,3,0.75
547,3,2,0.666666667
548,1,1,1
549,5,5,1
550,3,2,0.666666667
551,6,4,0.666666667
552,3,3,1
553,6,5,0.833333333
554,4,4,1
555,2,2,1
556,4,4,1
557,6,3,0.5
558,7,5,0.714285714
559,5,4,0.8
560,5,5,1
561,7,7,1
562,8,7,0.875
563,7,7,1
564,4,4,1
565,3,2,0.666666667
566,7,7,1
567,4,4,1
568,5,4,0.8
569,2,2,1
570,4,4,1
571,6,6,1
572,7,7,1
573,5,5,1
574,5,5,1
575,7,6,0.857142857
576,3,3,1
577,3,3,1
578,2,2,1
579,7,7,1
580,4,4,1
581,7,6,0.857142857
582,5,5,1
583,5,5,1
584,4,4,1
585,4,3,0.75
586,6,3,0.5
587,4,3,0.75
588,6,6,1
589,9,9,1
590,6,6,1
591,7,7,1
592,2,2,1
593,7,7,1
594,7,7,1
595,4,4,1
596,4,4,1
597,10,9,0.9
598,8,8,1
599,5,5,1
600,4,3,0.75
601,7,7,1
602,8,8,1
603,8,8,1
604,4,4,1
605,5,5,1
606,9,8,0.888888889
607,5,5,1
608,6,2,0.333333333
609,4,4,1
610,7,7,1
611,5,5,1
612,6,6,1
613,3,1,0.333333333
614,12,7,0.583333333
615,7,7,1
616,8,7,0.875
617,5,5,1
618,5,5,1
619,5,3,0.6
620,8,8,1
621,7,7,1
622,2,2,1
623,8,7,0.875
624,5,5,1
625,6,6,1
626,3,3,1
627,8,8,1
628,6,6,1
629,5,5,1
630,4,2,0.5
631,4,3,0.75
632,5,2,0.4
633,4,4,1
634,5,4,0.8
635,7,6,0.857142857
636,8,5,0.625
637,7,5,0.714285714
638,7,2,0.285714286
639,6,5,0.833333333
640,4,2,0.5
641,1,1,1
642,7,6,0.857142857
643,3,2,0.666666667
644,9,8,0.888888889
645,10,9,0.9
646,12,8,0.666666667
647,6,5,0.833333333
648,6,1,0.166666667
649,5,0,0
650,6,3,0.5
651,7,5,0.714285714
652,4,2,0.5
653,9,6,0.666666667
654,5,3,0.6
655,7,7,1
656,7,6,0.857142857
657,6,4,0.666666667
658,5,5,1
659,4,3,0.75
660,5,4,0.8
661,6,5,0.833333333
662,9,7,0.777777778
663,1,1,1
664,8,6,0.75
665,7,6,0.857142857
666,3,3,1
667,4,2,0.5
668,11,11,1
669,7,6,0.857142857
670,4,4,1
671,6,6,1
672,5,5,1
673,7,4,0.571428571
674,5,4,0.8
675,6,5,0.833333333
676,7,5,0.714285714
677,7,5,0.714285714
678,8,6,0.75
679,7,6,0.857142857
680,5,5,1
681,8,7,0.875
682,11,8,0.727272727
683,6,6,1
684,5,3,0.6
685,8,4,0.5
686,9,7,0.777777778
687,4,4,1
688,6,6,1
689,6,5,0.833333333
690,7,5,0.714285714
691,7,4,0.571428571
692,6,5,0.833333333
693,9,9,1
694,8,8,1
695,2,1,0.5
696,6,4,0.666666667
697,9,9,1
698,4,4,1
699,6,6,1
700,8,2,0.25
701,2,2,1
702,7,2,0.285714286
703,5,0,0
704,5,0,0
705,4,2,0.5
706,6,2,0.333333333
707,9,1,0.111111111
708,7,0,0
709,7,0,0
710,8,4,0.5
712,4,0,0
713,7,0,0
714,5,0,0
715,9,1,0.111111111
716,5,0,0
717,5,0,0
718,7,0,0
719,8,0,0
720,6,0,0
721,5,1,0.2
722,7,0,0
724,9,1,0.111111111
726,3,0,0
727,5,0,0
728,7,0,0
729,9,2,0.222222222
730,3,1,0.333333333
731,6,0,0
732,5,0,0
733,1,0,0
734,9,1,0.111111111
735,8,0,0
736,4,0,0
737,7,2,0.285714286
738,6,2,0.333333333
739,7,3,0.428571429
741,5,0,0
742,3,0,0
743,4,1,0.25
744,6,0,0
745,7,0,0
746,4,2,0.5
747,5,2,0.4
748,6,2,0.333333333
749,3,2,0.666666667
750,8,5,0.625
751,9,5,0.555555556
752,9,6,0.666666667
753,5,1,0.2
754,4,2,0.5
755,6,2,0.333333333
756,6,2,0.333333333
757,7,0,0
760,3,0,0
761,8,1,0.125
762,7,2,0.285714286
764,6,2,0.333333333
766,4,1,0.25
768,8,0,0
769,4,0,0
770,4,0,0
771,6,0,0
772,3,0,0
773,5,0,0
774,8,0,0
775,6,0,0
776,9,0,0
777,2,0,0
778,4,0,0
779,7,0,0
780,1,0,0
781,9,0,0
782,1,0,0
783,5,0,0
784,6,0,0
785,9,0,0
786,0,0,.
787,4,0,0
788,7,3,0.428571429
789,6,1,0.166666667
790,5,1,0.2
791,6,1,0.166666667
792,9,2,0.222222222
793,7,0,0
794,7,0,0
795,6,0,0
796,8,0,0
797,5,0,0
798,7,0,0
799,8,0,0
801,6,0,0
802,4,4,1
803,3,2,0.666666667
804,4,3,0.75
805,5,3,0.6
806,5,4,0.8
807,3,2,0.666666667
808,6,3,0.5
809,7,5,0.714285714
810,4,2,0.5
811,5,1,0.2
812,6,4,0.666666667
813,3,3,1
814,6,3,0.5
815,6,4,0.666666667
816,7,5,0.714285714
817,7,4,0.571428571
818,5,4,0.8
819,2,2,1
820,5,3,0.6
821,5,3,0.6
822,5,5,1
823,7,3,0.428571429
824,5,1,0.2
825,6,2,0.333333333
826,6,3,0.5
827,6,4,0.666666667
828,5,5,1
829,6,3,0.5
830,7,6,0.857142857
831,4,3,0.75
832,5,3,0.6
833,9,5,0.555555556
834,6,4,0.666666667
835,4,0,0
836,6,5,0.833333333
837,7,5,0.714285714
838,7,5,0.714285714
839,7,6,0.857142857
840,7,3,0.428571429
841,4,3,0.75
842,6,5,0.833333333
843,8,6,0.75
844,3,3,1
845,3,0,0
846,4,3,0.75
847,2,0,0
848,7,6,0.857142857
849,5,3,0.6
850,5,4,0.8
851,4,2,0.5
852,8,7,0.875
853,7,3,0.428571429
854,4,3,0.75
855,7,4,0.571428571
856,7,6,0.857142857
857,1,1,1
858,5,1,0.2
859,13,7,0.538461538
860,8,7,0.875
861,6,3,0.5
862,6,6,1
863,6,4,0.666666667
864,7,6,0.857142857
865,9,6,0.666666667
866,3,3,1
867,4,2,0.5
868,6,5,0.833333333
869,6,3,0.5
870,4,3,0.75
871,5,3,0.6
872,5,4,0.8
873,6,5,0.833333333
874,6,5,0.833333333
875,6,5,0.833333333
876,6,5,0.833333333
877,12,8,0.666666667
878,8,8,1
879,8,6,0.75
880,8,6,0.75
881,7,5,0.714285714
882,5,4,0.8
883,5,5,1
884,5,5,1
885,8,6,0.75
886,4,4,1
887,5,4,0.8
888,9,7,0.777777778
889,7,6,0.857142857
890,4,2,0.5
891,7,7,1
892,8,7,0.875
893,5,2,0.4
894,5,4,0.8
895,6,5,0.833333333
896,9,8,0.888888889
897,6,6,1
898,9,8,0.888888889
899,9,6,0.666666667
900,10,5,0.5
901,10,9,0.9
902,10,6,0.6
903,9,7,0.777777778
904,7,7,1
905,7,4,0.571428571
906,5,5,1
907,9,8,0.888888889
908,9,8,0.888888889
909,7,6,0.857142857
910,6,4,0.666666667
911,6,6,1
912,8,6,0.75
913,6,5,0.833333333
914,7,6,0.857142857
915,9,7,0.777777778
916,5,5,1
917,8,8,1
918,6,4,0.666666667
919,8,7,0.875
920,5,4,0.8
921,5,4,0.8
922,4,4,1
923,7,7,1
924,10,8,0.8
925,6,6,1
926,8,7,0.875
927,9,9,1
928,9,7,0.777777778
929,6,6,1
930,6,4,0.666666667
931,7,6,0.857142857
932,4,4,1
933,7,6,0.857142857
934,3,3,1
935,8,7,0.875
936,6,6,1
937,9,8,0.888888889
938,4,2,0.5
939,3,2,0.666666667
940,6,6,1
941,2,1,0.5
942,6,3,0.5
943,6,3,0.5
944,6,6,1
945,5,4,0.8
946,11,10,0.909090909
947,6,6,1
948,6,6,1
949,6,6,1
950,4,3,0.75
951,4,2,0.5
952,9,6,0.666666667
953,7,6,0.857142857
954,7,7,1
955,8,6,0.75
956,9,9,1
957,5,4,0.8
958,5,5,1
959,6,4,0.666666667
960,6,6,1
961,4,4,1
962,9,9,1
963,9,9,1
964,7,7,1
965,7,7,1
966,4,4,1
967,9,9,1
968,6,6,1
969,7,7,1
970,5,5,1
971,8,8,1
972,4,3,0.75
973,7,6,0.857142857
974,5,5,1
975,9,9,1
976,9,8,0.888888889
977,6,4,0.666666667
978,3,1,0.333333333
979,8,8,1
980,6,6,1
981,5,5,1
982,5,5,1
983,4,3,0.75
984,6,6,1
985,6,6,1
986,7,5,0.714285714
987,6,6,1
988,5,5,1
989,6,5,0.833333333
990,9,9,1
991,8,8,1
992,7,7,1
993,5,5,1
994,4,4,1
995,8,8,1
996,6,6,1
997,4,3,0.75
998,5,4,0.8
999,7,7,1
1000,8,8,1
1001,6,5,0.833333333
1002,9,7,0.777777778
1003,1,1,1
1004,4,4,1
1005,3,2,0.666666667
1006,10,9,0.9
1007,6,6,1
1008,8,8,1
1009,4,4,1
1010,5,4,0.8
1011,4,0,0
1012,7,3,0.428571429
1013,9,6,0.666666667
1014,4,1,0.25
1015,3,0,0
1016,2,0,0
1017,3,0,0
1018,6,3,0.5
1019,7,1,0.142857143
1020,6,3,0.5
1021,3,1,0.333333333
1022,5,2,0.4
1023,6,1,0.166666667
1024,5,2,0.4
1025,6,1,0.166666667
1026,3,0,0
1027,7,0,0
1028,2,1,0.5
1029,6,0,0
1030,2,1,0.5
1031,5,1,0.2
1032,4,0,0
1034,6,0,0
1035,5,1,0.2
1036,2,0,0
1037,9,4,0.444444444
1038,8,3,0.375
1039,6,2,0.333333333
1040,3,1,0.333333333
1041,6,1,0.166666667
1042,2,2,1
1043,6,4,0.666666667
1044,9,6,0.666666667
1045,5,2,0.4
1046,7,7,1
1047,5,4,0.8
1048,7,6,0.857142857
1049,7,5,0.714285714
1050,8,8,1
1051,8,1,0.125
1052,8,7,0.875
1053,6,0,0
1054,7,5,0.714285714
1055,9,8,0.888888889
1056,5,5,1
1058,10,2,0.2
1059,9,6,0.666666667
1060,9,5,0.555555556
1061,4,2,0.5
1062,8,4,0.5
1063,7,7,1
1064,7,7,1
1065,8,8,1
1067,4,4,1
1068,8,8,1
1069,4,3,0.75
1070,6,3,0.5
1071,6,4,0.666666667
1072,5,3,0.6
1073,6,6,1
1074,6,4,0.666666667
1075,4,4,1
1076,12,7,0.583333333
1077,6,4,0.666666667
1078,7,2,0.285714286
1079,5,2,0.4
1080,7,6,0.857142857
1081,6,1,0.166666667
1082,7,3,0.428571429
1083,6,2,0.333333333
1084,7,4,0.571428571
1085,7,3,0.428571429
1086,7,6,0.857142857
1087,8,2,0.25
1088,3,1,0.333333333
1089,5,3,0.6
1090,3,2,0.666666667
1091,4,3,0.75
1092,8,4,0.5
1093,7,5,0.714285714
1094,8,6,0.75
1095,3,1,0.333333333
1096,7,4,0.571428571
1097,7,3,0.428571429
1098,1,1,1
1099,7,4,0.571428571
1100,7,4,0.571428571
1101,5,2,0.4
1103,8,4,0.5
1104,3,1,0.333333333
1105,9,9,1
1106,8,6,0.75
1107,6,2,0.333333333
1108,7,4,0.571428571
1109,6,5,0.833333333
1110,5,3,0.6
1111,6,4,0.666666667
1112,4,4,1
1113,5,3,0.6
1114,3,3,1
1115,5,5,1
1116,6,6,1
1117,5,4,0.8
1118,7,3,0.428571429
1119,6,5,0.833333333
1120,6,5,0.833333333
1121,7,6,0.857142857
1122,3,2,0.666666667
1123,3,2,0.666666667
1124,6,5,0.833333333
1125,7,6,0.857142857
1126,3,0,0
1127,5,5,1
1128,6,3,0.5
1129,4,1,0.25
1130,6,3,0.5
1131,4,4,1
1132,6,5,0.833333333
1133,6,4,0.666666667
1134,5,1,0.2
1135,5,5,1
1136,10,5,0.5
1137,6,2,0.333333333
1138,7,6,0.857142857
1139,5,1,0.2
1140,1,1,1
1141,4,2,0.5
1142,8,5,0.625
1143,7,5,0.714285714
1144,8,8,1
1145,2,2,1
1146,6,5,0.833333333
1147,4,4,1
1148,6,5,0.833333333
1149,7,6,0.857142857
1150,5,5,1
1151,6,1,0.166666667
1152,2,1,0.5
1153,6,4,0.666666667
1154,4,4,1
1155,5,2,0.4
1156,2,2,1
1157,7,5,0.714285714
1158,3,1,0.333333333
1159,3,2,0.666666667
1160,4,3,0.75
1161,5,5,1
1162,5,4,0.8
1163,5,4,0.8
1164,4,4,1
1165,5,4,0.8
1166,7,7,1
1167,6,6,1
1168,5,5,1
1169,5,3,0.6
1170,7,7,1
1171,9,5,0.555555556
1172,6,3,0.5
1173,3,3,1
1174,9,5,0.555555556
1175,8,6,0.75
1176,7,4,0.571428571
1177,6,3,0.5
1178,4,4,1
1179,8,5,0.625
1180,5,2,0.4
1181,8,5,0.625
1182,6,4,0.666666667
1183,5,4,0.8
1184,6,5,0.833333333
1185,5,2,0.4
1186,4,2,0.5
1187,5,5,1
1188,6,5,0.833333333
1189,6,5,0.833333333
1190,9,3,0.333333333
1191,5,2,0.4
1192,7,3,0.428571429
1193,4,3,0.75
1194,5,4,0.8
1195,11,4,0.363636364
1196,5,2,0.4
1197,6,4,0.666666667
1198,8,5,0.625
1199,3,2,0.666666667
1200,3,2,0.666666667
1201,7,5,0.714285714
1202,2,2,1
1203,6,2,0.333333333
1204,7,5,0.714285714
1205,6,1,0.166666667
1206,5,2,0.4
1207,0,0,.
1208,7,4,0.571428571
1209,1,0,0
1210,6,2,0.333333333
1212,6,1,0.166666667
1213,9,7,0.777777778
1214,3,3,1
1215,6,1,0.166666667
1216,4,2,0.5
1217,9,4,0.444444444
1218,4,2,0.5
1219,2,1,0.5
1220,5,2,0.4
1221,3,0,0
1222,4,1,0.25
1223,4,3,0.75
1224,5,4,0.8
1225,5,5,1
1226,8,1,0.125
1227,7,4,0.571428571
1228,6,4,0.666666667
1229,6,4,0.666666667
1230,4,1,0.25
1231,4,1,0.25
1232,4,1,0.25
1233,6,3,0.5
1234,7,4,0.571428571
1235,8,4,0.5
1236,5,2,0.4
1237,4,2,0.5
1238,5,5,1
1239,7,7,1
1240,3,2,0.666666667
1241,2,2,1
1242,6,5,0.833333333
1243,4,3,0.75
1244,6,6,1
1245,6,4,0.666666667
1246,7,6,0.857142857
1247,4,1,0.25
1248,6,5,0.833333333
1249,3,3,1
1250,6,5,0.833333333
1251,3,1,0.333333333
1252,6,5,0.833333333
1253,2,2,1
1254,7,5,0.714285714
1255,7,7,1
1256,5,4,0.8
1257,4,3,0.75
1258,6,6,1
1259,8,6,0.75
1260,7,6,0.857142857
1261,6,4,0.666666667
1262,4,4,1
1263,6,3,0.5
1264,5,5,1
1265,4,2,0.5
1266,8,6,0.75
1267,5,4,0.8
1268,8,6,0.75
1269,11,9,0.818181818
1270,9,7,0.777777778
1272,7,1,0.142857143
1273,5,2,0.4
1274,5,3,0.6
1275,4,3,0.75
1276,6,5,0.833333333
1277,1,1,1
1278,6,6,1
1279,7,7,1
1280,12,9,0.75
1281,3,2,0.666666667
1282,5,5,1
1283,8,6,0.75
1284,3,3,1
1285,4,3,0.75
1286,7,5,0.714285714
1287,3,2,0.666666667
1288,3,2,0.666666667
1289,3,2,0.666666667
1290,8,6,0.75
1291,4,4,1
1292,10,6,0.6
1293,6,5,0.833333333
1294,5,4,0.8
1295,7,5,0.714285714
1296,8,8,1
1297,7,4,0.571428571
1298,9,5,0.555555556
1299,4,4,1
1300,8,5,0.625
1301,6,5,0.833333333
1302,6,3,0.5
1303,4,3,0.75
1304,4,3,0.75
1305,4,3,0.75
1306,3,3,1
1307,6,4,0.666666667
1308,5,4,0.8
1309,10,7,0.7
1310,2,0,0
1311,5,2,0.4
1312,2,1,0.5
1313,4,4,1
1314,5,3,0.6
1315,8,4,0.5
1316,4,3,0.75
1317,2,2,1
1318,5,4,0.8
1319,4,3,0.75
1320,5,3,0.6
1321,6,6,1
1322,7,3,0.428571429
1323,7,4,0.571428571
1324,7,3,0.428571429
1325,8,6,0.75
1326,4,2,0.5
1327,5,4,0.8
1328,0,0,.
1329,4,4,1
1330,7,7,1
1331,2,2,1
1332,6,6,1
1333,7,7,1
1334,4,4,1
1335,4,2,0.5
1336,7,7,1
1337,7,5,0.714285714
1338,2,0,0
1339,8,4,0.5
1340,9,5,0.555555556
1341,8,4,0.5
1342,5,5,1
1343,4,4,1
1344,4,3,0.75
1345,5,5,1
1346,6,6,1
1347,4,3,0.75
1348,12,9,0.75
1349,8,8,1
1350,9,9,1
1351,5,4,0.8
1352,8,6,0.75
1353,7,6,0.857142857
1354,9,8,0.888888889
1355,5,4,0.8
1356,5,3,0.6
1357,8,7,0.875
1358,5,5,1
1359,3,3,1
1360,9,5,0.555555556
1361,6,4,0.666666667
1362,8,7,0.875
1363,4,4,1
1364,9,8,0.888888889
1365,11,10,0.909090909
1366,9,8,0.888888889
1367,3,3,1
1368,5,5,1
1369,8,6,0.75
1370,6,6,1
1371,7,6,0.857142857
1372,5,5,1
1373,6,5,0.833333333
1374,6,4,0.666666667
1375,9,3,0.333333333
1376,7,3,0.428571429
1377,6,4,0.666666667
1378,11,1,0.090909091
1379,2,1,0.5
1380,1,0,0
1381,9,3,0.333333333
1382,9,2,0.222222222
1383,5,0,0
1384,6,3,0.5
1385,4,4,1
1386,3,2,0.666666667
1387,4,0,0
1388,5,0,0
1389,5,4,0.8
1390,7,5,0.714285714
1391,5,5,1
1392,6,6,1
1393,3,2,0.666666667
1394,8,1,0.125
1395,6,1,0.166666667
1396,5,4,0.8
1397,4,3,0.75
1398,1,0,0
1399,8,5,0.625
1400,3,3,1
1401,4,3,0.75
1402,3,2,0.666666667
1403,4,1,0.25
1404,4,2,0.5
1405,3,3,1
1406,6,4,0.666666667
